dish_name,count
"Leves + mézpácos csirkemell karamellizált almával, burgonya krokettel",7
"Leves + kéksajtos baconbe tekert jérce, bébispenóttal almás chuteny burgonya",7
"Leves + Bbq csontos karaj, burgundi mártás fűszeres burgonya gerezd",7
"Leves + fetasajtos csirkemell, krokett, rizs",7
"Leves + fetás csirkemell, krokett, rizs",7
"Leves + avokádós - paradicsomos csirkesaláta, pirítóssal",7
"Leves + pestos penne, bazsalikomos csirkemell csíkokkal",7
"Leves + mézpácos csirkemell karamellizált gyümölcs, krokett",7
"Sertéskaraj ""jóasszony"" módra rizzsel",7
"Leves + Bbq sült oldalas, steak burgonya, csalamádé",7
"Leves + erdélyi fatányéros, uborka saláta",7
Sertéskaraj vadasan pennével,7
Leves + pappfia - maffia karaj fokhagymás steak burgonyával,7
Leves + pankó morzsás sertés tarja füstölt sajtmártással és csónakburgonyával,7
"Leves + pacal pörkölt sósburgonya, gyümölcsös pudingos palacsinta",7
"Leves + omlós marhapofa, burgonya gratin, blansírozott zöldség",7
"Leves + mézpácos csirkemell, krokett, karamellizált gyümölcs",7
"Leves + fetás csirkemell, krokett, paradicsom saláta",7
"Leves + feta sajtos csirkemell burgonya gratin, vajon párolt zöldség",7
Daragaluska leves töltött káposzta,6
"Daragaluska leves pacalpörkölt, sós burgonya",6
Csirkehúsleves gazdagon lasagne,6
Cigánypecsenye rizzsel,6
Cordon Bleu rizi-bizivel,6
"Csongrádi tekercs, törtburgonya",6
"Csirkehúsleves gazdagon rántott camembert áfonyával és gyümölccsel, krokett",6
Csiki sertéstokány tarhonyával és savanyú uborkával,6
"Disznótoros leves kolbászhússal, cérnametélt pirított pecsenye kacsamáj, tepsis burgonya, savanyúság",6
"Csirkehúsleves gazdagon pácolt sertés tarja, ropogós hagyma bundában, fűszeres burgonya, savanyúság",6
Fetasajtos csirkemell jázmin rizs,6
"Disznótoros, hagymás burgonya",6
"Dubary szelet, törtburgonya",6
Halászlé túrós csusza,6
"Halrudak, gombás rizs",6
"Halrudacska, zöldséges rizs",6
Hagymás rostélyos steakburgonyával,6
Göngyölt sertéskaraj rizi-bizivel,6
"Gyümölcsmártás, rántott jércemell",6
Gulyásleves csipetkével túrógombóc dió bundában,6
"Grillcsirke petrezselymes újburgonyával, salátával",6
"Gombapaprikás, galuska",6
"Gombakrémleves krutonnal Bbq oldalas, friss saláta, sült burgonya",6
Füstölt csülkös babgulyás emiliane spaghetti,6
Friss leves,6
"Fokhagymakrémleves, olivás ciabatta chilis oldalas, amerikai saláta, fűszeres burgonya",6
"Fokhagyma krémleves, olivás ciabatta csülök Pékné módra",6
"Fokhagyma krémleves, olivás ciabatta csirkenuggets variációk, párolt rizs, aszaltparadicsomos mártogatós",6
"Fokhagyma krémleves szecsuáni csirke, rizs",6
"Cheddar sajtkrémleves fűszeres krutonnal roston csirkecomb, görög saláta, sült burgonya",6
"Feta sajt krémleves,bacon ropogóssal csirke nuggets variációk, sült burgonya, tzatziki saláta",6
Favágó leves,6
Erdélyi tokány tésztával,6
Erdélyi fatányéros,6
"Chilis bab, pita",6
"Birkapörkölt, sósburgonya, saláta",6
Burgundi marharagu zsemlegombóccal,6
Cukkínis rakott tészta,6
"Zúzapörkölt, galuska",6
"Tejszínes - gombás csirkemell, rizs",6
Temesvári sertésragu tésztával,6
Szegedi gulyásleves – sertés raguleves,6
Mustáros tarja steak burgonya almapaprika,6
Pacal főttburgonyával,6
"Paradicsomos káposzta, fasírttal",6
"Resztelt máj, sósburgonya",6
Sajtos vagy mákos nudli,6
Sertéspörkölt galuska,6
Csirkés pirított tészta,6
"Burgonyakrémleves zeller chipsszel csirke nuggets variációk, rizi-bizi, cheddar szósz",6
Holstein szelet hasábburgonya káposzta saláta,6
Marhahús leves,6
Csülkös bableves,6
Prézlis tészta,6
Ponty halászlé - Jókai bableves,6
"Piszkeszósz, Párizsi szelet",6
"Csirkenyárs, amerikai burgonya",6
Krumplis tészta uborka,6
"Pacalpörkölt, főttburgonya",6
Bakonyi sertés tésztával,6
Zöldbabfőzelék fasírozottal,6
