dish_name,score,lemmas
dish_name,count,dish_name
Májgombócleves - csontleves cérnametélttel,23,Májgombócleves - csontleves cérnametélt
Pecsenye leves,22,Pecseny leves
Rakott kel,22,rakott kel
Csirkemáj rizottó,22,Csirkemáj rizottó
Pármai rakott tészta,22,pármai rakott tészta
Borsos tokány tészta,22,borsos tokány tészta
Sajtos vagy mákos nudli,22,sajtos vagy mákos nudli
Petrezselymes galuskaleves,22,Petrezselymes galuskaleves
"Csülök ""Pékné"" módra, hagymás burgonya",21,"csül "" Pékné "" mód , hagymás burgonya"
Gölődin leves,21,Gölődin leves
Zöldséges - húsos rakott tészta,21,zöldséges - húsos rakott tészta
Palócleves,21,Palócleves
Csontleves cérnametélttel,21,Csontleves cérnametélt
"Pacalpörkölt, sósburgonya",21,"Pacalpörkölt , sósburgonya"
Marhagulyás + barackos - túrós palacsinta,21,Marhagulyás + barackos - túrós palacsinta
Raguleves,21,Raguleves
Marhapörkölt tarhonyával,21,Marhapörkölt tarhonya
"Csikós tokány galuskával, saláta",21,"Csikós tokány galuska , saláta"
Csirkebecsinált leves,21,csirkebecsinált leves
"Rántott sertésszelet, vegyes köret, saláta",21,"rántott sertésszelet , vegyes köret , saláta"
Gölődinleves,21,Gölődinleves
"Zúzapörkölt tarhonyával, saláta",21,"Zúzapörkölt tarhonya , saláta"
Szemes bableves,21,szemes bableves
Csirkepörkölt galuskával,20,Csirkepörkölt galuska
Mákos nudli,20,Mákos nudli
"Rántott csirkecomb, rizibizi",20,"rántott csirkecomb , rizibizi"
"Birkapörkölt, sósburgonya",20,"birkapörkölt , sósburgonya"
Kelkáposzta főzelék fasírozottal,20,Kelkáposzta főzelék fasírozot
Burgonyafőzelék vagdalttal,20,Burgonyafőzelék vagdalt
Erdei gyümölcsleves,20,Erdei gyümölcsleves
"Sertéspörkölt tarhonyával, saláta",20,"Sertéspörkölt tarhonya , saláta"
Leves + éhes gumis kedvence,20,Leves + éhes gumis kedvenc
"Meggyfőzelék, Párizsi csirke",20,"Meggyfőzelék , Párizsi csirke"
Sárgaborsó leves,20,Sárgaborsó leves
"Kecskeméti aprópecsenye, tészta",20,"kecskeméti aprópecseny , tészta"
Lencsekrém leves,20,Lencsekrém leves
Falusi csirkeleves,20,falusi csirkeleves
"Rántott sajt, rizs",20,"rántott sajt , rizs"
"Cordon Bleu, rizibizi",20,"Cordon Bleu , rizibizi"
Bakonyi szelet galuskával,19,bakonyi szelet galuska
"Körömpörkölt, sósburgonyával",19,"Körömpörkölt , sósburgonya"
"Búbos hús, petrezselymes burgonya",19,"búbos hús , petrezselymes burgonya"
Túrós csusza pörccel,19,Túrós csusza pörc
Tejfölös bableves,19,Tejfölös bableves
"Sonkával töltött rántott sajt, rizibizi",19,"Sonka tölt rántott sajt , rizibizi"
Szárnyas raguleves,19,Szárnyas raguleves
Savanyú burgonyaleves,19,Savanyú burgonyaleves
"Sárgaborsó főzelék, borsos tokány",19,"Sárgaborsó főzelék , borsos tokány"
"Resztelt máj, főttburgonya",19,"resztelt máj , főttburgonya"
"Csőben sült ananászos csirkemell, rizs",19,"cső sült ananászos csirkemell , rizs"
"Ínyenc batyu, rizs",18,"Ínyenc batyu , rizs"
"Magvas rántott szelet, rizibizi",18,"Magvas ránt szél , rizibizi"
"Sertéskaraj vadasan, tészta",18,"Sertéskaraj vadas , tészta"
Görög rakott burgonya,18,görög rakott burgonya
