dish_name,count,lemmas,course,protein,cooking_method,canonical_name
"Rántott sajt, sült krumplival. 2290.- Sajttal-sonkával töltött karaj, sült krumplival. 2390.- Sajtos-bundás csirkemell, sült krumplival . 2390.- Lassan Sült Oldalas, jázmin rizzsel. 2390.",25,"rántott sajt , sül krumpli . 2290.- Sajttal-sonka töltött karaj , sül krumpli . 2390.- Sajtos-bundás csirkemell , sül krumpli . 2390.- lassú Sül Oldalas , jázmin rizz . 2390.",főétel,"csirke,sertés","rántott,sült,töltött,bundás",hasábburgonya
"Sajttal - sonkával töltött szelet, rizibizi",25,"Sajt - sonka töltött szél , rizibizi",főétel,sertés,töltött,rizibizi
"Burgonyafőzelék, fasírt",25,"Burgonyafőzelék , fasírt",főzelék,,fasírozott,fasírozott
Bakonyi betyárleves,25,bakonyi betyárleves,leves,,,Bakonyi betyárleves
Sajtos tészta,25,Sajtos tészta,főétel,vegetáriánus,,Sajtos tészta
Krémes karfiolleves,24,krémes karfiolleves,leves,vegetáriánus,,Krémes karfiolleves
Bácskai rizses hús,24,bácskai rizses hús,főétel,,,Bácskai rizses hús
Alföldi tésztaleves,24,alföldi tésztaleves,leves,,,Alföldi tésztaleves
"Gyros, sültburgonya",24,"gyros , sültburgonya",főétel,,sült,hasábburgonya
Zellerkrémleves,24,Zellerkrémleves,leves,,,Zellerkrémleves
"Halrudak, rizibizi",24,"halrudak , rizibizi",főétel,,,rizibizi
Ízes derelye,23,ízes derely,főétel,,,Ízes derelye
Szilvaleves,23,Szilvaleves,leves,,,Szilvaleves
Zúzapörkölt tarhonyával,23,Zúzapörkölt tarhonya,főétel,,pörkölt,Zúzapörkölt tarhonyával
Húsgombócleves,23,Húsgombócleves,leves,,,Húsgombócleves
Sajtos - tejfölös tészta,23,Sajtos - tejfölös tészta,főétel,vegetáriánus,,Sajtos - tejfölös tészta
"Körömpörkölt, főttburgonya",23,"Körömpörkölt , főttburgonya",főétel,,"főtt,pörkölt","Körömpörkölt, főttburgonya"
Eperkrémleves,22,Eperkrémleves,leves,,,Eperkrémleves
"Kakaspörkölt tésztával, saláta",22,"Kakaspörkölt tészta , saláta",főétel,,pörkölt,"Kakaspörkölt tésztával, saláta"
Csirkepörkölt tésztával,22,Csirkepörkölt tészta,főétel,csirke,pörkölt,csirkepörkölt
"Csikós tokány, tészta",22,"Csikós tokány , tészta",főétel,,,"Csikós tokány, tészta"
Tejfölös burgonyaleves,22,Tejfölös burgonyaleves,leves,,,Tejfölös burgonyaleves
"Sárgaborsó főzelék, sertéspörkölt",21,"Sárgaborsó főzelék , sertéspörkölt",főzelék,sertés,pörkölt,sertéspörkölt
Marhagulyás + Barackos - túrós palacsinta,21,Marhagulyás + Barackos - túrós palacsinta,desszert,marha,,Marhagulyás + Barackos - túrós palacsinta
"Zöldborsós sertés tokány galuskával, saláta",21,"zöldborsós sertés tokány galuska , saláta",főétel,sertés,,"Zöldborsós sertés tokány galuskával, saláta"
Burgonyagombóc leves,21,Burgonyagombóc leves,leves,,,Burgonyagombóc leves
"Pacal, főttburgonya",21,"pacal , főttburgonya",főétel,,főtt,"Pacal, főttburgonya"
"Kelkáposzta főzelék, fasírozott",21,"Kelkáposzta főzelék , fasírozott",főzelék,,fasírozott,fasírozott
Borsos tokány tészta,21,borsos tokány tészta,főétel,,,Borsos tokány tészta
Rakott krumpli,21,rakott krumpli,főétel,vegetáriánus,rakott,Rakott krumpli
Gyros,21,Gyros,főétel,,,gyros tál
Szaggatott tésztaleves,20,szaggatott tésztaleves,leves,,,Szaggatott tésztaleves
"Rántott sajt, rizs",20,"rántott sajt , rizs",főétel,vegetáriánus,rántott,rántott sajt
"Párizsi sertés szelet, vegyes köret, saláta",20,"párizsi sertés szél , vegyes köret , saláta",főétel,sertés,párizsi,"Párizsi sertés szelet, vegyes köret, saláta"
"Pulykapörkölt tésztával, saláta",20,"Pulykapörkölt tészta , saláta",főétel,csirke,pörkölt,"Pulykapörkölt tésztával, saláta"
Mákos guba,20,mákos guba,főétel,,,Mákos guba
"Borsos tokány galuskával, saláta",20,"Borsos tokány galuska , saláta",főétel,,,"Borsos tokány galuskával, saláta"
Zöldségleves - Gyümölcsleves,20,Zöldségleves - Gyümölcsleves,leves,vegetáriánus,,gyümölcsleves
Zöldséges - húsos rakott tészta,20,zöldséges - húsos rakott tészta,főétel,vegetáriánus,rakott,Zöldséges - húsos rakott tészta
"Pacalpörkölt, sósburgonya",20,"Pacalpörkölt , sósburgonya",főétel,,pörkölt,"Pacalpörkölt, sósburgonya"
"Töltött csirkecomb, rizibizi",20,"töltött csirkecomb , rizibizi",főétel,csirke,töltött,rizibizi
Leves + Éhes gumis kedvence,20,Leves + Éhes gumis kedvenc,leves,,,Leves + Éhes gumis kedvence
"Gyümölcsfőzelék, párizsi csirkemell",19,"Gyümölcsfőzelék , párizsi csirkemell",főzelék,csirke,párizsi,"Gyümölcsfőzelék, párizsi csirkemell"
Gölődin leves,19,Gölődin leves,leves,,,Gölődin leves
Bakonyi betyár leves,19,bakonyi betyár leves,leves,,,Bakonyi betyár leves
"Búbos hús, petrezselymes burgonya",19,"búbos hús , petrezselymes burgonya",főétel,,,petrezselymes burgonya
Diós tészta,19,Diós tészta,főétel,,,Diós tészta
Pecsenye leves,19,Pecseny leves,leves,,,Pecsenye leves
Pármai rakott tészta,19,pármai rakott tészta,főétel,,rakott,Pármai rakott tészta
"Rakott burgonya, saláta",19,"rakott burgonya , saláta",főétel,,rakott,"Rakott burgonya, saláta"
Csontleves cérnametélttel,19,Csontleves cérnametélt,leves,,,csontleves
"Töltött csirkecomb, burgonyapüré",19,"töltött csirkecomb , burgonyapüré",főétel,csirke,töltött,burgonyapüré
Gölődinleves,18,Gölődinleves,leves,,,Gölődinleves
"Sertéskaraj vadasan, tészta",18,"Sertéskaraj vadas , tészta",főétel,sertés,,"Sertéskaraj vadasan, tészta"
Erdei gyümölcsleves,18,Erdei gyümölcsleves,leves,,,gyümölcsleves
"Sertéspörkölt tarhonyával, saláta",18,"Sertéspörkölt tarhonya , saláta",főétel,sertés,pörkölt,sertéspörkölt
"Csülök ""Pékné"" módra, hagymás burgonya",18,"csül "" Pékné "" mód , hagymás burgonya",főétel,sertés,,"Csülök ""Pékné"" módra, hagymás burgonya"
Sütőtök krémleves,18,Sütőt krémleves,leves,vegetáriánus,,Sütőtök krémleves
"Birkapörkölt, sósburgonya",18,"birkapörkölt , sósburgonya",főétel,,pörkölt,"Birkapörkölt, sósburgonya"
Palócleves,18,Palócleves,leves,,,Palócleves
Tárkonyos sertés raguleves,18,tárkonyos sertés raguleves,leves,sertés,,Tárkonyos sertés raguleves
Csirkemáj rizottó,18,Csirkemáj rizottó,főétel,csirke,,Csirkemáj rizottó
Zöldborsó leves,18,Zöldborsó leves,leves,,,Zöldborsó leves
Marhapörkölt galuskával,18,Marhapörkölt galuska,főétel,marha,pörkölt,Marhapörkölt galuskával
Falusi csirkeleves,17,falusi csirkeleves,leves,csirke,,Falusi csirkeleves
Raguleves,17,Raguleves,leves,,,Raguleves
"Rántott sertésszelet, vegyes köret, saláta",17,"rántott sertésszelet , vegyes köret , saláta",főétel,sertés,rántott,"Rántott sertésszelet, vegyes köret, saláta"
"Körömpörkölt, sósburgonya",17,"Körömpörkölt , sósburgonya",főétel,,pörkölt,"Körömpörkölt, sósburgonya"
Savanyú burgonyaleves,17,Savanyú burgonyaleves,leves,,,Savanyú burgonyaleves
Szárnyas raguleves,17,Szárnyas raguleves,leves,csirke,,Szárnyas raguleves
Sárgaborsó leves,17,Sárgaborsó leves,leves,,,Sárgaborsó leves
Borsos tokány tésztával,17,Borsos tokány tészta,főétel,,,Borsos tokány tészta
Tejfölös bableves,17,Tejfölös bableves,leves,,,Tejfölös bableves
Vaníliás palacsinta,17,Vaníliás palacsinta,desszert,,,Vaníliás palacsinta
"Zúzapörkölt tarhonyával, saláta",17,"Zúzapörkölt tarhonya , saláta",főétel,,pörkölt,"Zúzapörkölt tarhonyával, saláta"
Petrezselymes galuskaleves,16,Petrezselymes galuskaleves,leves,,,galuska
Marhapörkölt tarhonyával,16,Marhapörkölt tarhonya,főétel,marha,pörkölt,Marhapörkölt tarhonyával
Csirkebecsinált leves,16,csirkebecsinált leves,leves,csirke,,Csirkebecsinált leves
"Csikós tokány galuskával, saláta",16,"Csikós tokány galuska , saláta",főétel,,,"Csikós tokány galuskával, saláta"
Bácskai rizseshús,16,Bácskai rizseshús,főétel,,,Bácskai rizseshús
"Bakonyi szelet, galuskával",16,"bakonyi szél , galuska",főétel,,,"Bakonyi szelet, galuskával"
Mákos nudli,16,Mákos nudli,főétel,,,Mákos nudli
Rakott kel,16,rakott kel,főétel,,rakott,Rakott kel
Májgombócleves - Csontleves cérnametélttel,16,Májgombócleves - Csontleves cérnametélt,leves,,,csontleves
Szemes bableves,16,szemes bableves,leves,,,Szemes bableves
Paradicsomleves betűtésztával,16,Paradicsomleves betűtészta,leves,,,paradicsomleves
Kelkáposzta főzelék fasírozottal,15,Kelkáposzta főzelék fasírozot,főzelék,,fasírozott,fasírozott
"Sertéspörkölt, tarhonya, savanyúság",15,"Sertéspörkölt , tarhony , savanyúság",főétel,sertés,pörkölt,sertéspörkölt
"Rántott csirkecomb, rizibizi",15,"rántott csirkecomb , rizibizi",főétel,csirke,rántott,rizibizi
Magyaros gombaleves,15,magyaros gombaleves,leves,vegetáriánus,,Magyaros gombaleves
"Meggyfőzelék, párizsi csirke",15,"Meggyfőzelék , párizsi csirke",főzelék,csirke,párizsi,"Meggyfőzelék, párizsi csirke"
"Bácskai rizses hús, saláta",15,"bácskai rizses hús , saláta",főétel,,,"Bácskai rizses hús, saláta"
Görög rakott burgonya,15,görög rakott burgonya,főétel,,rakott,Görög rakott burgonya
Bakonyi sertésszelet galuskával,15,bakonyi sertésszelet galuska,főétel,sertés,,Bakonyi sertésszelet galuskával
Csirkepörkölt galuska,15,Csirkepörkölt galuska,főétel,csirke,pörkölt,csirkepörkölt
"Csőben sült ananászos csirkemell, rizs",15,"cső sült ananászos csirkemell , rizs",főétel,csirke,sült,"Csőben sült ananászos csirkemell, rizs"
"Kecskeméti aprópecsenye, tészta",15,"kecskeméti aprópecseny , tészta",főétel,,,"Kecskeméti aprópecsenye, tészta"
"Resztelt máj, főttburgonya",15,"resztelt máj , főttburgonya",főétel,,főtt,"Resztelt máj, főttburgonya"
"Rántott sajt, sült krumplival. 2290.- Sajttal-sonkával töltött karaj, sült krumplival. 2390.- Sajtos-bundás csirkemell, sült krumplival . 2390.- Lassan Sült Oldalas, jázmin rizzsel. 2390.- Czigány lecsó, lassan sült oldalassal és házi tésztával. 2390.",15,"rántott sajt , sül krumpli . 2290.- Sajttal-sonka töltött karaj , sül krumpli . 2390.- Sajtos-bundás csirkemell , sül krumpli . 2390.- lassú Sül Oldalas , jázmin rizz . 2390.- Czigány lecsó , lassú sült oldalas és házi tészta . 2390.",főétel,"csirke,sertés","rántott,sült,töltött,bundás",hasábburgonya
Tárkonyos sertésragu leves,15,tárkonyos sertésragu leves,leves,sertés,,Tárkonyos sertésragu leves
Tavaszi leves,15,tavaszi leves,leves,,,Tavaszi leves
Lencsekrém leves,15,Lencsekrém leves,leves,vegetáriánus,,Lencsekrém leves
Túrós csusza pörccel,15,Túrós csusza pörc,főétel,vegetáriánus,,túrós csusza
"Sonkával töltött rántott sajt, rizibizi",15,"Sonka tölt rántott sajt , rizibizi",főétel,sertés,"rántott,töltött",rizibizi
"Meggyfőzelék, párizsi csirkemell",14,"Meggyfőzelék , párizsi csirkemell",főzelék,csirke,párizsi,"Meggyfőzelék, párizsi csirkemell"
"Rakott karfiol, greslivel",14,"rakott karfiol , gresli",főétel,vegetáriánus,rakott,"Rakott karfiol, greslivel"
Májgombóc leves,14,Májgombóc leves,leves,,,Májgombóc leves
Babgulyás + Tiramisu,14,Babgulyás + Tiramisu,leves,marha,,Babgulyás + Tiramisu
"Gombaleves, csipetkével",14,"gombaleves , csipetk",leves,vegetáriánus,,"Gombaleves, csipetkével"
Burgonyafőzelék vagdalttal,14,Burgonyafőzelék vagdalt,főzelék,,,Burgonyafőzelék vagdalttal
Leves + Garnélás - tonhalas - tejszínes spagetti,14,Leves + Garnélás - tonhalas - tejszínes spagetti,leves,,,Leves + Garnélás - tonhalas - tejszínes spagetti
Csőben sült túrós palacsinta,14,cső sült túrós palacsinta,desszert,vegetáriánus,sült,Csőben sült túrós palacsinta
"Körömpörkölt, sós burgonya, saláta",14,"Körömpörkölt , sós burgonya , saláta",főétel,,pörkölt,"Körömpörkölt, sós burgonya, saláta"
Leves + Garnélás - tejszínes spagetti,14,Leves + Garnélás - tejszínes spagetti,leves,,,Leves + Garnélás - tejszínes spagetti
Vargabéles,14,Vargabéles,főétel,,,Vargabéles
Becsinált leves,14,becsinált leves,leves,,,Becsinált leves
Paradicsomos káposzta vagdalttal,14,Paradicsomos káposzta vagdalt,főétel,,,Paradicsomos káposzta vagdalttal
Csirkeragu leves,14,Csirkeragu leves,leves,csirke,,Csirkeragu leves
"Magyaros zöldborsóleves, csipetkével",14,"magyaros zöldborsóleves , csipetk",leves,,,"Magyaros zöldborsóleves, csipetkével"
"Sárgaborsó főzelék, borsos tokány",14,"Sárgaborsó főzelék , borsos tokány",főzelék,,,"Sárgaborsó főzelék, borsos tokány"
"Tavaszi rizses hús, savanyúság",13,"tavaszi rizses hús , savanyúság",főétel,,,savanyúság
"Sobri szelet, rizzsel",13,"Sobri szél , rizz",főétel,,,"Sobri szelet, rizzsel"
Sárgaborsó főzelék pörkölttel,13,Sárgaborsó főzelék pörkölt,főzelék,,pörkölt,Sárgaborsó főzelék pörkölttel
Csontleves gazdagon,13,Csontleves gazdag,leves,,,csontleves
