dish_name,count,lemmas,course,protein,cooking_method,canonical_name
"Szezámos halfilé, rizs, majonézes kukorica saláta",1,"szezámos halfilé , rizs , majonézes kukorica saláta",főétel,hal,,"Szezámos halfilé, rizs, majonézes kukorica saláta"
"Szezámos halfilé, majonézes kukorica, rizs",1,"szezámos halfilé , majonézes kukorica , rizs",főétel,hal,,"Szezámos halfilé, rizs, majonézes kukorica"
"Szezámos halfilé, majonézes almasaláta, rizs",1,"szezámos halfilé , majonézes almasaláta , rizs",főétel,hal,,"Szezámos halfilé, majonézes almasaláta, rizs"
"Szezámos halfilé, francia saláta, rizs",1,"szezámos halfilé , francia saláta , rizs",főétel,hal,,"Szezámos halfilé, rizs, francia saláta"
"Szezámos halfilé rántva, rizs, francia saláta",1,"szezámos halfilé rántva , rizs , francia saláta",főétel,hal,rántott,"Szezámos halfilé rántva, rizs, francia saláta"
"Szezámos halfilé rántva, rizs",1,"szezámos halfilé rántva , rizs",főétel,hal,rántott,"Szezámos halfilé rántva, rizs"
"Szezámos halfilé rántva, rizibizi",1,"szezámos halfilé rántva , rizibizi",főétel,hal,rántott,rizibizi
"Szezámos halfilé rántva, majonézes almasaláta",1,"szezámos halfilé rántva , majonézes almasaláta",főétel,hal,rántott,"Szezámos halfilé rántva, majonézes almasaláta"
"Szezámos halfilé rántva, fahéjas almasaláta, rizs",1,"szezámos halfilé rántva , fahéjas almasaláta , rizs",főétel,hal,rántott,"Szezámos halfilé rántva, fahéjas almasaláta, rizs"
"Szezámos hal, rizs, majonézes kukorica",1,"szezámos hal , rizs , majonézes kukorica",főétel,hal,,"Szezámos hal, rizs, majonézes kukorica"
"Szezámos hal rántva, rizs, francia saláta",1,"szezámos hal rántva , rizs , francia saláta",főétel,hal,rántott,"Szezámos hal rántva, rizs, francia saláta"
"Szezámos csirkemell, zöldséges bulgurral",1,"szezámos csirkemell , zöldséges bulgur",főétel,csirke,,"Szezámos csirkemell, zöldséges bulgurral"
"Szezámos csirkemell, zöldséges bulgur",1,"szezámos csirkemell , zöldséges bulgur",főétel,csirke,,"Szezámos csirkemell, zöldséges bulgurral"
"Zöldborsófőzelék, fűszeres húspogácsa",1,"Zöldborsófőzelék , fűszeres húspogácsa",főzelék,,,"Zöldborsófőzelék, fűszeres húspogácsa"
"Szezámos csirkemell, petrezselymes burgonya",1,"szezámos csirkemell , petrezselymes burgonya",főétel,csirke,,petrezselymes burgonya
Szezámos csirkemell rizibizi,1,szezámos csirkemell rizibizi,főétel,csirke,,rizibizi
Szezámos csirkemell rizi-bizi,1,szezámos csirkemell rizi-bizi,főétel,csirke,,rizibizi
Szezámos csirkemell francia salátával,1,szezámos csirkemell francia saláta,főétel,csirke,,Szezámos csirkemell francia salátával
"Szezámos csirkemell csíkok, grillzöldség, hasábburgonya",1,"szezámos csirkemell csík , grillzöldség , hasábburgonya",főétel,csirke,grillezett,hasábburgonya
Szezámos csirkefalatok tört burgonya,1,szezámos csirkefalat tört burgonya,főétel,csirke,,burgonyapüré
Szezámos bundában sült csirkemell majonézes burgonyával,1,szezámos bunda sült csirkemell majonézes burgonya,főétel,csirke,sült,Szezámos bundában sült csirkemell majonézes burgonyával
"Szezámmagos szelet, francia saláta",1,"szezámmagos szél , francia saláta",főétel,,,"Szezámmagos szelet, francia saláta"
"Szezámmagos sertés szelet, vegyes köret",1,"szezámmagos sertés szél , vegyes köret",főétel,sertés,,"Szezámmagos sertés szelet, vegyes köret"
"Szezámmagos rántott szelet, vajas burgonya",1,"szezámmagos ránt szél , vajas burgonya",főétel,,rántott,"Szezámmagos rántott szelet, vajas burgonya"
"Szezámmagos rántott szelet, rizs",1,"szezámmagos ránt szél , rizs",főétel,,rántott,"Szezámmagos rántott szelet, rizs"
"Szezámmagos rántott szelet, rizibizi",1,"szezámmagos ránt szél , rizibizi",főétel,,rántott,rizibizi
"Szezámmagos rántott szelet, francia saláta, rizs",1,"szezámmagos ránt szél , francia saláta , rizs",főétel,,rántott,"Szezámmagos rántott szelet, francia saláta, rizs"
"Szezámmagos rántott szelet, burgonya krokett",1,"szezámmagos rántott szél , burgonya krokett",főétel,,rántott,"Szezámmagos rántott szelet, burgonya krokett"
"Szezámmagos rántott sertésszelet, zöldséges rizs saláta C: Roston sült tarja hagymásan, tükörtojás, pirított burgonya, saláta",1,"szezámmagos rántott sertésszelet , zöldséges rizs saláta C : Roston sül tar hagymás , tükörtojás , pirított burgonya , saláta",főétel,sertés,"rántott,sült,grillezett,pirított","Szezámmagos rántott sertésszelet, zöldséges rizs saláta C: Roston sült tarja hagymásan, tükörtojás, pirított burgonya, saláta"
"Szezámmagos rántott sertéskaraj, petrezselymes burgonya",1,"szezámmagos rántott sertéskaraj , petrezselymes burgonya",főétel,sertés,rántott,petrezselymes burgonya
"Szezámmagos rántott sertés szelet, vajas burgonya, saláta",1,"szezámmagos rántott sertés szelet , vajas burgonya , saláta",főétel,sertés,rántott,"Szezámmagos rántott sertés szelet, vajas burgonya, saláta"
"Szezámmagos rántott sertés szelet, rizibizi, saláta",1,"szezámmagos rántott sertés szelet , rizibizi , saláta",főétel,sertés,rántott,rizibizi
"Szezámmagos rántott sajt, sültburgonya",1,"szezámmagos rántott sajt , sültburgonya",főétel,vegetáriánus,"rántott,sült",hasábburgonya
"Szezámmagos rántott sajt, püré",1,"szezámmagos rántott sajt , püré",főétel,vegetáriánus,rántott,rántott sajt
"Szezámmagos rántott jércemell, krokett",1,"szezámmagos rántott jércemell , krokett",főétel,csirke,rántott,rántott csirkemell
Szezámmagos rántott jércemell francia saláta,1,szezámmagos rántott jércemell francia saláta,főétel,csirke,rántott,rántott csirkemell
"Szezámmagos rántott jérce, majonézes kukorica, rizs",1,"szezámmagos rántott jérce , majonézes kukorica , rizs",főétel,csirke,rántott,"Szezámmagos rántott jérce, majonézes kukorica, rizs"
"Szezámmagos rántott jérce, kukoricás rizs",1,"szezámmagos rántott jérce , kukoricás rizs",főétel,csirke,rántott,"Szezámmagos rántott jérce, kukoricás rizs"
"Szezámmagos rántott jérce, francia saláta, rizs",1,"szezámmagos rántott jérce , francia saláta , rizs",főétel,csirke,rántott,"Szezámmagos rántott jérce, francia saláta, rizs"
Szezámmagos rántott jérce krokettel,1,szezámmagos rántott jérce kroket,főétel,csirke,rántott,Szezámmagos rántott jérce krokettel
Szezámmagos rántott jérce bulgurral,1,szezámmagos rántott jérce bulgur,főétel,csirke,rántott,Szezámmagos rántott jérce bulgurral
"Szezámmagos rántott halfilé, rizibizi, tartár",1,"szezámmagos rántott halfilé , rizibizi , tartár",főétel,hal,rántott,rizibizi
"Szezámmagos rántott halfilé, burgonyapüré",1,"szezámmagos rántott halfilé , burgonyapüré",főétel,hal,rántott,burgonyapüré
"Szezámmagos rántott hal, rizs",1,"szezámmagos rántott hal , rizs",főétel,hal,rántott,"Szezámmagos rántott hal, rizs"
Szezámmagos rántott hal tejfölös uborka salátával és párolt rizzsel,1,szezámmagos rántott hal tejfölös uborka saláta és párolt rizzs,főétel,hal,"rántott,párolt",Szezámmagos rántott hal tejfölös uborka salátával és párolt rizzsel
"Szezámmagos rántott hal majonézes, snidlinges burgonya saláta",1,"szezámmagos rántott hal majonézes , snidlinges burgonya saláta",főétel,hal,rántott,Szezámmagos rántott hal majonézes burgonya saláta
Szezámmagos rántott hal burgonya pürével és remulád mártással,1,szezámmagos rántott hal burgonya pür és remulád mártás,főétel,hal,rántott,Szezámmagos rántott hal burgonya pürével és remulád mártással
"Szezámmagos rántott csirkemell, zöldséges rizs, saláta C: Rakott kel",1,"szezámmagos rántott csirkemell , zöldséges rizs , saláta C : Rakott kel",főétel,csirke,"rántott,rakott",rántott csirkemell
"Szezámmagos rántott csirkemell, zöldséges rizs, saláta C: Kassai sertés java, hagymás burgonya, saláta",1,"szezámmagos rántott csirkemell , zöldséges rizs , saláta C : Kassai sertés java , hagymás burgonya , saláta",főétel,"csirke,sertés",rántott,rántott csirkemell
"Szezámmagos rántott csirkemell, vajas burgonya, saláta C: Rakott zöldbab",1,"szezámmagos rántott csirkemell , vajas burgonya , saláta C : Rakott zöldbab",főétel,csirke,"rántott,rakott",rántott csirkemell
"Szezámmagos rántott csirkemell, rizibizi, saláta C: Milánói rakott tészta",1,"szezámmagos ránt csirkemell , rizibizi , saláta C : Milánói rakott tészta",főétel,csirke,"rántott,rakott,milánói",rizibizi
"Szezámmagos rántott csirkemell, rizibizi, saláta C: Cigánypecsenye, hagymás burgonya, saláta",1,"szezámmagos ránt csirkemell , rizibizi , saláta C : Cigánypecsenye , hagymás burgonya , saláta",főétel,csirke,rántott,rizibizi
"Szezámmagos rántott csirkemell, rizibizi, saláta C: Búbos sertés java, hagymás burgonya, saláta",1,"szezámmagos ránt csirkemell , rizibizi , saláta C : Búbos sertés java , hagymás burgonya , saláta",főétel,"csirke,sertés",rántott,rizibizi
"Szezámmagos rántott csirkemell, párolt rizs, saláta C: Sertés szelet Pékné módra, petrezselymes burgonya, saláta",1,"szezámmagos rántott csirkemell , párolt rizs , saláta C : sertés szél Pékné mód , petrezselymes burgonya , saláta",főétel,"csirke,sertés","rántott,párolt",rántott csirkemell
"Szezámmagos rántott csirkemell, párolt rizs, párolt zöldség C: Rántott sertésmáj, petrezselymes burgonya, saláta",1,"szezámmagos rántott csirkemell , párolt rizs , párolt zöldség C : Rántott sertésmáj , petrezselymes burgonya , saláta",főétel,"csirke,sertés","rántott,párolt",rántott csirkemell
"Szezámmagos rántott csirkemell, petrezselymes burgonya, saláta C: Tejszínes gombás sertésszelet rizzsel",1,"szezámmagos rántott csirkemell , petrezselymes burgonya , saláta C : Tejszínes gombás sertésszelet rizzsel",főétel,"csirke,sertés",rántott,rántott csirkemell
"Szezámmagos rántott csirkemell, gombás rizs, saláta C: Holstein sertés szelet, petrezselymes burgonya, saláta",1,"szezámmagos rántott csirkemell , gombás rizs , saláta C : Holstein sertés szelet , petrezselymes burgonya , saláta",főétel,"csirke,sertés",rántott,rántott csirkemell
"Szezámmagos rántott csirkemell, burgonyapüré,csalamádé",1,"szezámmagos rántott csirkemell , burgonyapüré , csalamádé",főétel,csirke,rántott,burgonyapüré
Szezámmagos rántott csirkemell burgonyapüré,1,szezámmagos rántott csirkemell burgonyapüré,főétel,csirke,rántott,burgonyapüré
Szezámmagos rántott csirkemell burgonya püré,1,szezámmagos rántott csirkemell burgonya püré,főétel,csirke,rántott,rántott csirkemell
"Szezámmagos rántott csirkemell - rántott karfiol, párolt rizs, majonéz",1,"szezámmagos rántott csirkemell - ránt karfiol , párolt rizs , majonéz",főétel,csirke,"rántott,párolt",rántott csirkemell
"Szezámmagos rántott csirkecomb, burgonyapüré",1,"szezámmagos rántott csirkecomb , burgonyapüré",főétel,csirke,rántott,burgonyapüré
"Szezámmagos rántott csirke, rizibizi",1,"szezámmagos rántott csirke , rizibizi",főétel,csirke,rántott,rizibizi
"Szezámmagos csirkemell, sült burgonya",1,"szezámmagos csirkemell , sült burgonya",főétel,csirke,sült,"Szezámmagos csirkemell, sült burgonya"
"Szezámmagos csirkemell, rizibizi",1,"szezámmagos csirkemell , rizibizi",főétel,csirke,,rizibizi
Szezámmagos csirkemell majonézes burgonya saláta,1,szezámmagos csirkemell majonézes burgonya saláta,főétel,csirke,,Szezámmagos csirkemell majonézes burgonya saláta
"Szerb rizseshús, savanyúság",1,"szerb rizseshús , savanyúság",főétel,,,savanyúság
Szentgyörgyi palacsinta,1,Szentgyörgyi palacsinta,desszert,,,Szentgyörgyi palacsinta
Szemesbab leves csülökkel,1,Szemesbab leves csülökkel,leves,sertés,,Szemesbab leves csülökkel
Szemesbab leves,1,Szemesbab leves,leves,vegetáriánus,,Szemesbab leves
"Szemesbab főzelék, sült oldalas",1,"Szemesbab főzelék , sült oldalas",főzelék,sertés,sült,"Szemesbab főzelék, sült oldalas"
"Szemesbab főzelék, sült házi kolbásszal",1,"Szemesbab főzelék , sült házi kolbász",főzelék,sertés,sült,"Szemesbab főzelék, sült házi kolbásszal"
"Szemesbab főzelék, sertéspörkölttel",1,"Szemesbab főzelék , sertéspörkölt",főzelék,sertés,pörkölt,sertéspörkölt
Szemesbab főzelék oldalassal,1,Szemesbab főzelék oldalas,főzelék,sertés,,Szemesbab főzelék oldalassal
Szemes tejfölös bableves,1,Szemes tejfölös bableves,leves,,,Szemes tejfölös bableves
Szemes bableves füstölt csülökkel,1,szemes bableves füstöl csülök,leves,sertés,,Szemes bableves füstölt csülökkel
"Szemes babfőzelék, sertéspörkölt, sütemény",1,"szemes babfőzelék , sertéspörkölt , sütemény",desszert,sertés,pörkölt,sertéspörkölt
"Szemes babfőzelék, marhapörkölt, sütemény",1,"szemes babfőzelék , marhapörköl , sütemény",desszert,marha,pörkölt,"Szemes babfőzelék, marhapörkölt, sütemény"
Szemes babfőzelék sertés pörkölttel,1,szemes babfőzelék sertés pörkölt,főzelék,sertés,pörkölt,sertéspörkölt
Szegedi gulyásleves – Tárkonyos sertés raguleves,1,szegedi gulyásleves – Tárkonyos sertés raguleves,leves,"sertés,marha",,Szegedi gulyásleves – Tárkonyos sertés raguleves
Szegedi gulyásleves - Tyúkhúsleves csigatésztával,1,szegedi gulyásleves - Tyúkhúsleves csigatészta,leves,marha,,húsleves
Szegedi gulyásleves - Marha húsleves,1,szegedi gulyásleves - Marha húsleves,leves,marha,,húsleves
Szecsuáni csirkés rizzsel,1,Szecsuáni csirkés rizzsel,főétel,,,Szecsuáni csirkés rizzsel
"Zöldborsófőzelék, sertésflekken",1,"Zöldborsófőzelék , sertésflekk",főzelék,sertés,,"Zöldborsófőzelék, sertésflekken"
"Szecsuáni csirkemell, pirított tésztával",1,"szecsuáni csirkemell , pirított tészta",főétel,csirke,pirított,"Szecsuáni csirkemell, pirított tésztával"
"Szecsuáni csirkemell, currys rizs",1,"szecsuáni csirkemell , currys rizs",főétel,csirke,,"Szecsuáni csirkemell, currys rizs"
Szecsuáni csirkemell rizs,1,szecsuáni csirkemell rizs,főétel,csirke,,Szecsuáni csirkemell rizs
Szecsuáni csirkemell bulgur,1,szecsuáni csirkemell bulgur,főétel,csirke,,Szecsuáni csirkemell bulgurral
"Szecsuáni csirke, tojásos - sonkás rizs",1,"szecsuáni csirke , tojásos - sonkás rizs",főétel,csirke,,"Szecsuáni csirke, tojásos - sonkás rizs"
"Szecsuáni csirke, rizs",1,"szecsuáni csirke , rizs",főétel,csirke,,"Szecsuáni csirke, rizs"
"Szecsuáni csirke, pirított tésztával",1,"szecsuáni csirke , pirított tészta",főétel,csirke,pirított,"Szecsuáni csirke, pirított tésztával"
"Szecsuáni csirke, pirított rizzsel",1,"szecsuáni csirke , pirított rizz",főétel,csirke,pirított,"Szecsuáni csirke, pirított rizzsel"
"Szecsuáni csirke, jázmin rizzsel",1,"szecsuáni csirke , jázmin rizz",főétel,csirke,,"Szecsuáni csirke, jázmin rizzsel"
Szarvaspörkölt tésztával,1,Szarvaspörkölt tészta,főétel,,pörkölt,Szarvaspörkölt tésztával
Szarvaspörkölt galuskával,1,Szarvaspörkölt galuska,főétel,,pörkölt,Szarvaspörkölt galuskával
Szarvas vadmártással zsemlegombóccal,1,Szarvas vadmártás zsemlegombóc,desszert,,,Szarvas vadmártással zsemlegombóccal
Szarvas gulyás leves,1,Szarvas gulyás leves,leves,marha,,Szarvas gulyás leves
Szamóca krémleves,1,Szamóca krémleves,leves,,,Szamóca krémleves
"Szalontüdő, zselmegombóc, csőtészta",1,"Szalontüdő , zselmegombóc , csőtészta",desszert,,,"Szalontüdő, zselmegombóc, csőtészta"
Szalontüdő,1,Szalontüdő,főétel,,,Szalontüdő
Szalonnás magyaros krumplileves,1,Szalonnás magyaros krumplileves,leves,vegetáriánus,,Szalonnás magyaros krumplileves
Szakács kedvence,1,Szakács kedvenc,főétel,,,Szakács kedvence
"Szaftos tejfölös csirkecomb, rizs",1,"Szaftos tejfölös csirkecomb , rizs",főétel,csirke,,"Szaftos tejfölös csirkecomb, rizs"
"Szaftos tarja, steak burgonya",1,"szaftos tar , steak burgonya",főétel,sertés,,hasábburgonya
"Szaftos sült csirkecomb, rizs",1,"szaftos sült csirkecomb , rizs",főétel,csirke,sült,"Szaftos sült csirkecomb, rizs"
Szaftos sertéstarja zöldséges bulgurral,1,szaftos sertéstar zöldséges bulgur,főétel,sertés,,Szaftos sertéstarja zöldséges bulgurral
Szaftos pulykaszelet zöldséges rizs,1,szaftos pulykaszelet zöldséges rizs,főétel,csirke,,Szaftos pulykaszelet zöldséges rizs
Szaftos csirke kukoricás rizs,1,szaftos csirke kukoricás rizs,főétel,csirke,,Szaftos csirke kukoricás rizs
"Zöldborsófőzelék, sült csirkecombbal",1,"Zöldborsófőzelék , sült csirkecomb",főzelék,csirke,sült,"Zöldborsófőzelék, sült csirkecomb"
Stíriai metélt - Krumplis tészta - Ízes derelye,1,stíriai metél - Krumplis tészta - Ízes derely,főétel,vegetáriánus,,Stíriai metélt - Krumplis tészta - Ízes derelye
Stíriai metélt - Bolognai spagetti - Grízes tészta öntettel,1,stíriai metél - Bolognai spagetti - Grízes tészta öntet,főétel,,,bolognai spagetti
Stírai metélt,1,stír metél,főétel,,,Stírai metélt
Stroganoff tokány tésztával,1,Stroganoff tokány tészta,főétel,,,Stroganoff tokány tésztával
Stroganoff sertésragu galuskával,1,Stroganoff sertésragu galuska,főétel,sertés,,Stroganoff sertésragu galuskával
Stefánia-szelet zöldborsó főzelékkel,1,stefánia-szelet zöldborsó főzelék,főzelék,,,Stefánia-szelet zöldborsó főzelékkel
Stefánia vagdalt kelkáposzta főzelék,1,Stefánia vagdalt kelkáposzta főzelék,főzelék,,,Stefánia vagdalt kelkáposzta főzelék
Stefánia vagdalt burgonyapürével,1,Stefánia vagdalt burgonyapüre,főétel,,,burgonyapüré
"Stefánia szelet, zöldborsófőzelék",1,"Stefánia szelet , zöldborsófőzelék",főzelék,,,"Stefánia szelet, zöldborsófőzelék"
Stefánia szelet zöldborsófőzelékkel,1,Stefánia szél zöldborsófőzelék,főzelék,,,"Zöldborsófőzelék, stefánia szelet"
Spárgakrémleves,1,spárgakrémleves,leves,,,Spárgakrémleves
Spárgakrém leves - Paradicsomleves,1,Spárgakrém leves - paradicsomleves,leves,,,paradicsomleves
"Spárga párizsi bundában, répás-tejszínes bulgur",1,"Spárga párizsi bunda , répás-tejszínes bulgur",főétel,,párizsi,"Spárga párizsi bundában, répás-tejszínes bulgur"
Spenótos-tejszínes tésztas,1,spenótos-tejszínes tésztas,főétel,,,Spenótos-tejszínes tésztas
"Zöldborsófőzelék, sült debreceni",1,"Zöldborsófőzelék , sült debreceni",főzelék,,sült,"Zöldborsófőzelék, sült debreceni"
"Spenótos, kétsajtos rakott padlizsán",1,"spenótos , kétsajtos rakott padlizsa",főétel,vegetáriánus,rakott,"Spenótos, kétsajtos rakott padlizsán"
"Spenótos csőben sült csirkemell, rizs",1,"spenótos cső sült csirkemell , rizs",főétel,csirke,sült,"Spenótos csőben sült csirkemell, rizs"
"Spenótos csirkeragu, jázmin rizzsel",1,"spenótos csirkeragu , jázmin rizz",főétel,csirke,,"Spenótos csirkeragu, jázmin rizzsel"
"Spenótos csirkemell csőben sütve, hasábburgonyával",1,"spenótos csirkemell cső sütve , hasábburgonya",főétel,csirke,sült,"Spenótos csirkemell csőben sütve, hasábburgonyával"
"Spenótos csirkemell csőben sütve, hasábburgonya",1,"spenótos csirkemell cső sütve , hasábburgonya",főétel,csirke,sült,hasábburgonya
"Spenótos csirke, kukoricás rizzsel",1,"spenótos csirke , kukoricás rizz",főétel,csirke,,"Spenótos csirke, kukoricás rizzsel"
Spenótos csirke csőben sütve rizs,1,spenótos csirke cső sütve rizs,főétel,csirke,sült,Spenótos csirke csőben sütve rizs
Spenótos - sajtkrémes karaj spagetti,1,spenótos - sajtkrémes karaj spagetti,desszert,sertés,,Spenótos - sajtkrémes karaj spagetti
"Spanyol sertésapró, rizs",1,"Spanyol sertésapró , rizs",főétel,sertés,,"Spanyol sertésapró, rizs"
Spagetti emiliana,1,Spagetti emiliana,főétel,,,Spagetti emiliana
Spagetti csirkével és zöldségekkel vajmártásban,1,Spagetti csirke és zöldség vajmártás,főétel,csirke,,Spagetti csirkével és zöldségekkel vajmártásban
"Sonkával töltött sajt, sültburgonya",1,"Sonka töltött sajt , sültburgonya",főétel,sertés,"sült,töltött",hasábburgonya
"Sonkával töltött sajt, rizs, tartármártás",1,"Sonka töltött sajt , rizs , tartármártás",főétel,sertés,töltött,"Sonkával töltött sajt, rizs, tartármártás"
"Sonkával töltött sajt, rizs, tartár",1,"Sonka töltött sajt , rizs , tartár",főétel,sertés,töltött,"Sonkával töltött sajt, rizs, tartár"
"Sonkával töltött sajt, rizs",1,"Sonka töltött sajt , rizs",főétel,sertés,töltött,"Sonkával töltött sajt, rizs"
"Sonkával töltött sajt, kukoricás rizs",1,"Sonka töltött sajt , kukoricás rizs",főétel,sertés,töltött,"Sonkával töltött sajt, kukoricás rizs"
Sonkával töltött sajt rizzsel,1,Sonka töltött sajt rizzsel,főétel,sertés,töltött,Sonkával töltött sajt rizzsel
Sonkával töltött sajt kukoricás rizzsel,1,Sonka töltött sajt kukoricás rizz,főétel,sertés,töltött,Sonkával töltött sajt kukoricás rizzsel
"Sonkával töltött rántott sajt, zöldséges rizs",1,"Sonka tölt rántott sajt , zöldséges rizs",főétel,sertés,"rántott,töltött",rántott sajt
"Sonkával töltött rántott sajt, törtburgonya",1,"Sonka tölt rántott sajt , törtburgonya",főétel,sertés,"rántott,töltött",burgonyapüré
"Sonkával töltött rántott sajt, steakburgonya",1,"Sonka tölt rántott sajt , steakburgonya",főétel,sertés,"rántott,töltött",rántott sajt
"Sonkával töltött rántott sajt, rizs",1,"Sonka tölt rántott sajt , rizs",főétel,sertés,"rántott,töltött",rántott sajt
"Sonkával töltött rántott sajt, hercegnő burgonya",1,"Sonka töltött rántott sajt , hercegnő burgonya",főétel,sertés,"rántott,töltött",rántott sajt
"Sonkával töltött rántott sajt, hasábburgonya",1,"Sonka tölt rántott sajt , hasábburgonya",főétel,sertés,"rántott,töltött",hasábburgonya
"Sonkával töltött rántott sajt, burgonyapüré",1,"Sonka töltött rántott sajt , burgonyapüré",főétel,sertés,"rántott,töltött",burgonyapüré
Sonkával töltött csirkemell rántva,1,Sonka töltött csirkemell rántva,főétel,"csirke,sertés","rántott,töltött",Sonkával töltött csirkemell rántva
"Sonkával rántott sajt, rizibizi",1,"Sonka rántott sajt , rizibizi",főétel,sertés,rántott,rizibizi
Sonkás tepsis csirke zöldséges rizs,1,sonkás tepsis csirke zöldséges rizs,főétel,csirke,tepsis,Sonkás tepsis csirke zöldséges rizs
Sonkás kocka - Szárnyas májrizottó - Grízes tészta öntettel,1,sonkás kocka - Szárnyas májrizottó - Grízes tészta öntet,főétel,csirke,,Sonkás kocka - Szárnyas májrizottó - Grízes tészta öntettel
Sonkás kocka - Káposztás tészta - Ízes derelye,1,sonkás kocka - Káposztás tészta - Ízes derely,főétel,,,káposztás tészta
Sonkás kocka - Krumplis tészta - Túrós derelye,1,sonkás kocka - Krumplis tészta - Túrós derelye,főétel,vegetáriánus,,Sonkás kocka - Krumplis tészta - Túrós derelye
Sonkás - tejfölös lencseleves,1,sonkás - tejfölös lencseleves,leves,vegetáriánus,,Sonkás - tejfölös lencseleves
Sonkás - snidlinges rakott tészta,1,sonkás - snidlinges rakott tészta,főétel,,rakott,Sonkás - snidlinges rakott tészta
Sonkás - húsos rakott tészta,1,sonkás - húsos rakott tészta,főétel,,rakott,Sonkás - húsos rakott tészta
Somlói kocka,1,somlói kocka,főétel,,,Somlói kocka
Somlyói tarkaleves,1,Somlyói tarkaleves,leves,,,Somlyói tarkaleves
Zöldborsóleves - Csontleves,1,Zöldborsóleves - Csontleves,leves,,,csontleves
Soksajtos rántott csirkemell pürével,1,soksajtos rántott csirkemell püre,főétel,csirke,rántott,rántott csirkemell
Soksajtos gnocchi spenótos levéllel,1,soksajtos gnocchi spenótos levél,főétel,vegetáriánus,,Soksajtos gnocchi spenótos levéllel
Soksajtos gnocchi spenoth levéllel,1,soksajtos gnocchi spenoth levél,főétel,vegetáriánus,,Soksajtos gnocchi spenoth levéllel
Soksajtos gnocchi pirított szalonnával,1,soksajtos gnocchi pirított szalonna,főétel,sertés,pirított,Soksajtos gnocchi pirított szalonnával
Soksajtos gnocchi baby spenóth levéllel pirított szalonnával,1,soksajtos gnocchi baby spenóth levél pirított szalonna,főétel,sertés,pirított,Soksajtos gnocchi baby spenóth levéllel pirított szalonnával
"Soksajtos csőben sült pulykamell, krokett",1,"soksajtos cső sült pulykamell , krokett",főétel,csirke,sült,"Soksajtos csőben sült pulykamell, krokett"
"Soksajtos csirkemell csőben sütve, krokett",1,"soksajtos csirkemell cső sütve , krokett",főétel,csirke,sült,"Soksajtos csirkemell csőben sütve, krokett"
"Sokmagvas szelet, rizzsel",1,"Sokmagvas szelet , rizzsel",főétel,,,"Sokmagvas szelet, rizzsel"
"Sokmagvas szelet, petrezselymes burgonya",1,"Sokmagvas szél , petrezselymes burgonya",főétel,,,petrezselymes burgonya
"Sokmagvas szelet, mexikói rizs",1,"Sokmagvas szél , mexikói rizs",főétel,,,"Sokmagvas szelet, mexikói rizs"
"Sokmagvas szelet, kukoricás rizs",1,"Sokmagvas szél , kukoricás rizs",főétel,,,"Sokmagvas szelet, kukoricás rizs"
"Sokmagvas szelet, francia saláta",1,"Sokmagvas szelet , francia saláta",főétel,,,"Sokmagvas szelet, francia saláta"
"Sokmagvas rántott szelet, vegyes körettel",1,"sokmagvas ránt szél , vegyes köret",főétel,,rántott,"Sokmagvas rántott szelet, vegyes körettel"
"Sokmagvas rántott szelet, vegyes köret",1,"sokmagvas ránt szél , vegyes köret",főétel,,rántott,"Sokmagvas rántott szelet, vegyes körettel"
"Sokmagvas rántott szelet, vajas burgonya",1,"sokmagvas ránt szél , vajas burgonya",főétel,,rántott,"Sokmagvas rántott szelet, vajas burgonya"
"Sokmagvas rántott szelet, törtburgonya",1,"sokmagvas ránt szél , törtburgonya",főétel,,rántott,burgonyapüré
"Sokmagvas rántott szelet, steak burgonya",1,"sokmagvas ránt szél , steak burgonya",főétel,,rántott,hasábburgonya
"Sokmagvas rántott szelet, petrezselymes burgonya",1,"sokmagvas ránt szél , petrezselymes burgonya",főétel,,rántott,petrezselymes burgonya
"Sokmagvas rántott szelet, krokett",1,"sokmagvas ránt szél , krokett",főétel,,rántott,"Sokmagvas rántott szelet, krokett"
Sokmagvas rántott szelet burgonyapüré,1,sokmagvas rántott szél burgonyapüré,főétel,,rántott,burgonyapüré
"Sokmagvas rántott sertéskaraj, kukoricás rizs",1,"sokmagvas ránt sertéskaraj , kukoricás rizs",főétel,sertés,rántott,"Sokmagvas rántott sertéskaraj, kukoricás rizs"
"Sokmagvas rántott sertéskaraj, francia saláta, rizs",1,"sokmagvas ránt sertéskaraj , francia saláta , rizs",főétel,sertés,rántott,"Sokmagvas rántott sertéskaraj, francia saláta, rizs"
Sokmagvas rántott jércemell krokettel,1,sokmagvas ránt jércemell kroket,főétel,csirke,rántott,rántott csirkemell
"Sokmagvas rántott jérce, rösztike",1,"sokmagvas ránt jérce , rösztike",főétel,csirke,rántott,"Sokmagvas rántott jérce, rösztike"
"Sokmagvas rántott jérce, krokett",1,"sokmagvas ránt jérce , krokett",főétel,csirke,rántott,"Sokmagvas rántott jérce, krokett"
"Sokmagvas rántott jérce, francia saláta, rizs",1,"sokmagvas ránt jérce , francia saláta , rizs",főétel,csirke,rántott,"Sokmagvas rántott jérce, francia saláta, rizs"
"Sokmagvas rántott halfilé, majonézes kukorica, rizs",1,"sokmagvas rántott halfilé , majonézes kukorica , rizs",főétel,hal,rántott,"Sokmagvas rántott halfilé, majonézes kukorica, rizs"
