dish_name,count,lemmas,course,protein,cooking_method
Csirkemáj rizottó,22,Csirkemáj rizottó,főétel,csirke,
Pármai rakott tészta,22,pármai rakott tészta,főétel,,rakott
Borsos tokány tészta,22,borsos tokány tészta,főétel,,
Sajtos vagy mákos nudli,22,sajtos vagy mákos nudli,főétel,vegetáriánus,
Petrezselymes galuskaleves,22,Petrezselymes galuskaleves,leves,,
"Csülök ""Pékné"" módra, hagymás burgonya",21,"csül "" Pékné "" mód , hagymás burgonya",főétel,sertés,
Gölődin leves,21,Gölődin leves,leves,,
Zöldséges - húsos rakott tészta,21,zöldséges - húsos rakott tészta,főétel,vegetáriánus,rakott
Palócleves,21,Palócleves,leves,,
Csontleves cérnametélttel,21,Csontleves cérnametélt,leves,,
"Pacalpörkölt, sósburgonya",21,"Pacalpörkölt , sósburgonya",főétel,,pörkölt
Marhagulyás + barackos - túrós palacsinta,21,Marhagulyás + barackos - túrós palacsinta,desszert,marha,
Raguleves,21,Raguleves,leves,,
Marhapörkölt tarhonyával,21,Marhapörkölt tarhonya,főétel,marha,pörkölt
"Csikós tokány galuskával, saláta",21,"Csikós tokány galuska , saláta",főétel,,
Csirkebecsinált leves,21,csirkebecsinált leves,leves,csirke,
"Rántott sertésszelet, vegyes köret, saláta",21,"rántott sertésszelet , vegyes köret , saláta",főétel,sertés,rántott
Gölődinleves,21,Gölődinleves,leves,,
"Zúzapörkölt tarhonyával, saláta",21,"Zúzapörkölt tarhonya , saláta",főétel,,pörkölt
Szemes bableves,21,szemes bableves,leves,,
Csirkepörkölt galuskával,20,Csirkepörkölt galuska,főétel,csirke,pörkölt
Mákos nudli,20,Mákos nudli,főétel,,
"Rántott csirkecomb, rizibizi",20,"rántott csirkecomb , rizibizi",főétel,csirke,rántott
"Birkapörkölt, sósburgonya",20,"birkapörkölt , sósburgonya",főétel,,pörkölt
Kelkáposzta főzelék fasírozottal,20,Kelkáposzta főzelék fasírozot,főzelék,,fasírozott
Burgonyafőzelék vagdalttal,20,Burgonyafőzelék vagdalt,főzelék,,
Erdei gyümölcsleves,20,Erdei gyümölcsleves,leves,,
"Sertéspörkölt tarhonyával, saláta",20,"Sertéspörkölt tarhonya , saláta",főétel,sertés,pörkölt
Leves + éhes gumis kedvence,20,Leves + éhes gumis kedvenc,leves,,
"Meggyfőzelék, Párizsi csirke",20,"Meggyfőzelék , Párizsi csirke",főzelék,csirke,párizsi
Sárgaborsó leves,20,Sárgaborsó leves,leves,,
"Kecskeméti aprópecsenye, tészta",20,"kecskeméti aprópecseny , tészta",főétel,,
Lencsekrém leves,20,Lencsekrém leves,leves,vegetáriánus,
Falusi csirkeleves,20,falusi csirkeleves,leves,csirke,
"Rántott sajt, rizs",20,"rántott sajt , rizs",főétel,vegetáriánus,rántott
"Cordon Bleu, rizibizi",20,"Cordon Bleu , rizibizi",főétel,,
Bakonyi szelet galuskával,19,bakonyi szelet galuska,főétel,,
"Körömpörkölt, sósburgonyával",19,"Körömpörkölt , sósburgonya",főétel,,pörkölt
"Búbos hús, petrezselymes burgonya",19,"búbos hús , petrezselymes burgonya",főétel,,
Túrós csusza pörccel,19,Túrós csusza pörc,főétel,vegetáriánus,
Tejfölös bableves,19,Tejfölös bableves,leves,,
"Sonkával töltött rántott sajt, rizibizi",19,"Sonka tölt rántott sajt , rizibizi",főétel,sertés,"rántott,töltött"
Szárnyas raguleves,19,Szárnyas raguleves,leves,csirke,
Savanyú burgonyaleves,19,Savanyú burgonyaleves,leves,,
"Sárgaborsó főzelék, borsos tokány",19,"Sárgaborsó főzelék , borsos tokány",főzelék,,
"Resztelt máj, főttburgonya",19,"resztelt máj , főttburgonya",főétel,,főtt
"Csőben sült ananászos csirkemell, rizs",19,"cső sült ananászos csirkemell , rizs",főétel,csirke,sült
"Ínyenc batyu, rizs",18,"Ínyenc batyu , rizs",főétel,,
"Magvas rántott szelet, rizibizi",18,"Magvas ránt szél , rizibizi",főétel,,rántott
"Sertéskaraj vadasan, tészta",18,"Sertéskaraj vadas , tészta",főétel,sertés,
Görög rakott burgonya,18,görög rakott burgonya,főétel,,rakott
"Körömpörkölt, sós burgonya, saláta",18,"Körömpörkölt , sós burgonya , saláta",főétel,,pörkölt
Csikós tokány tésztával,18,Csikós tokány tészta,főétel,,
"Sajttal - sonkával töltött szelet, rizibizivel",18,"Sajt - sonka töltött szél , rizibizi",főétel,sertés,töltött
"Körömpörkölt, sósburgonya",18,"Körömpörkölt , sósburgonya",főétel,,pörkölt
Babgulyás - palócgulyás,18,Babgulyás - palócgulyás,leves,marha,
"Gombaleves, csipetkével",18,"gombaleves , csipetk",leves,vegetáriánus,
Sertéshúsleves,17,Sertéshúsleves,leves,sertés,
Bakonyi sertésszelet galuskával,17,bakonyi sertésszelet galuska,főétel,sertés,
Csirkeragu leves,17,Csirkeragu leves,leves,csirke,
Paradicsomleves betűtésztával,17,Paradicsomleves betűtészta,leves,,
"Sobri szelet, rizzsel",17,"Sobri szél , rizz",főétel,,
Sárgaborsó főzelék pörkölttel,17,Sárgaborsó főzelék pörkölt,főzelék,,pörkölt
Paradicsomos káposzta vagdalttal,17,Paradicsomos káposzta vagdalt,főétel,,
Babgulyás - legényfogó leves,17,Babgulyás - legényfogó leves,leves,marha,
Magyaros rizsleves,17,magyaros rizsleves,leves,,
Csőben sült túrós palacsinta,17,cső sült túrós palacsinta,desszert,vegetáriánus,sült
Becsinált leves,17,becsinált leves,leves,,
Krémes palacsinta,17,krémes palacsinta,desszert,,
"Roston csirkemell, sajtmártás, rizs",17,"Roston csirkemell , sajtmártás , rizs",főétel,csirke,grillezett
"Rác csirkecomb, karikás burgonya",17,"Rác csirkecomb , karikás burgonya",főétel,csirke,
Tárkonyos sertésragu leves,17,tárkonyos sertésragu leves,leves,sertés,
Babgulyás - tyúkhúsleves,17,Babgulyás - tyúkhúsleves,leves,marha,
Milánói sertéskaraj,17,Milánói sertéskaraj,főétel,sertés,milánói
"Bácskai rizses hús, saláta",17,"bácskai rizses hús , saláta",főétel,,
Palóc gulyás,17,Palóc gulyás,főétel,marha,
Csorbaleves,17,Csorbaleves,leves,,
Csirkepörkölt galuska,16,Csirkepörkölt galuska,főétel,csirke,pörkölt
Májgombóc leves,16,Májgombóc leves,leves,,
Csontleves gazdagon,16,Csontleves gazdag,leves,,
Tavaszi leves,16,tavaszi leves,leves,,
"Csongrádi tekercs, petrezselymes burgonya",16,"csongrádi tekercs , petrezselymes burgonya",főétel,,
Eperleves,16,Eperleves,leves,,
"Sertéspörkölt, tarhonya, savanyúság",16,"Sertéspörkölt , tarhony , savanyúság",főétel,sertés,pörkölt
"Rakott karfiol, greslivel",15,"rakott karfiol , gresli",főétel,vegetáriánus,rakott
Hideg meggyleves,15,Hideg meggyleves,leves,,
"Rántott sajt, sült krumplival. 2290.- sajttal-sonkával töltött karaj, sült krumplival. 2390.- sajtos-bundás csirkemell, sült krumplival . 2390.- lassan sült oldalas, jázmin rizzsel. 2390.- czigány lecsó, lassan sült oldalassal és házi tésztával. 2390.",15,"rántott sajt , sül krumpli . 2290.- sajttal-sonkával töltött karaj , sül krumpli . 2390.- sajtos-bundás csirkemell , sül krumpli . 2390.- lassú sült oldalas , jázmin rizz . 2390.- czigány lecsó , lassú sült oldalas és házi tészta . 2390.",főétel,"csirke,sertés","rántott,sült,töltött,bundás"
"Bácskai rizses hús, savanyúság",15,"bácskai rizses hús , savanyúság",főétel,,
Túróval töltött zsemle,15,Túró töltött zsemle,főétel,vegetáriánus,töltött
"Magyaros zöldborsóleves, csipetkével",15,"magyaros zöldborsóleves , csipetk",leves,,
"Tavaszi rizses hús, savanyúság",15,"tavaszi rizses hús , savanyúság",főétel,,
Karfiol leves,15,Karfiol leves,leves,vegetáriánus,
Karalábéleves,15,Karalábéleves,leves,,
Prézlis tészta baracklekvárral,15,Prézlis tészta baracklekvár,főétel,,
"Gyros, sültburgonya, saláta",15,"gyros , sültburgonya , saláta",főétel,,sült
Magyaros zöldbableves,15,magyaros zöldbableves,leves,,
Csülökpörkölt tésztával,15,Csülökpörkölt tészta,főétel,sertés,pörkölt
Hagymakrém leves,15,Hagymakrém leves,leves,,
"Meggyfőzelék, Párizsi csirkemell",15,"Meggyfőzelék , Párizsi csirkemell",főzelék,csirke,párizsi
Újházi tyúkhúsleves,15,újházi tyúkhúsleves,leves,,
Babgulyás - pecsenyeleves,15,Babgulyás - pecsenyeleves,leves,marha,
Tavaszi zöldségleves - gyümölcsleves,15,Tavaszi zöldségleves - gyümölcsleves,leves,vegetáriánus,
Babgulyás - Frankfurti leves,15,Babgulyás - Frankfurti leves,leves,marha,
"Borsmártásos sertéskaraj, burgonyapüré",14,"borsmártásos sertéskaraj , burgonyapüré",főétel,sertés,
Csirkepaprikás galuskával,14,Csirkepaprikás galuska,főétel,csirke,
Leves + garnélás - tonhalas - tejszínes spagetti,14,Leves + garnélás - tonhalas - tejszínes spagetti,leves,,
"Tökfőzelék, fasírt",14,"tökfőzelék , fasírt",főzelék,vegetáriánus,fasírozott
"Rántott tengeri halfilé, petrezselymes burgonya",14,"rántott tengeri halfilé , petrezselymes burgonya",főétel,hal,rántott
Csirkepaprikás nokedlivel,14,Csirkepaprikás nokedli,főétel,csirke,
Szemes bableves - gyümölcsleves,14,szemes bableves - gyümölcsleves,leves,,
Tökfőzelék pörkölttel,14,Tökfőzelék pörkölt,főzelék,vegetáriánus,pörkölt
Babgulyás + tiramisu,14,Babgulyás + tiramisu,leves,marha,
Leves + garnélás - tejszínes spagetti,14,Leves + garnélás - tejszínes spagetti,leves,,
"Szezámmagos rántott sertés szelet, vegyes köret, saláta",14,"szezámmagos rántott sertés szél , vegyes köret , saláta",főétel,sertés,rántott
"Édes - savanyú csirke, rizs",14,"édes - savanyú csirke , rizs",főétel,csirke,
Tejfölös gombaleves - csontleves cérnametélttel,14,Tejfölös gombaleves - csontleves cérnametélt,leves,vegetáriánus,
Borjúpörkölt tésztával,14,Borjúpörkölt tészta,főétel,marha,pörkölt
Burgonyás tészta,14,Burgonyás tészta,főétel,,
Szilvalekváros derelye,14,Szilvalekváros derely,főétel,,
Vargabéles,14,Vargabéles,főétel,,
"Sült oldalas, törtburgonya",14,"sült oldalas , törtburgonya",főétel,sertés,sült
Magyaros zöldbableves - gyümölcsleves,14,magyaros zöldbableves - gyümölcsleves,leves,,
Belsőségleves - gyümölcsleves,14,Belsőségleves - gyümölcsleves,leves,,
Zeller krémleves - csontleves cérnametélttel,14,Zeller krémleves - csontleves cérnametélt,leves,,
Tejfölös zöldbableves,14,Tejfölös zöldbableves,leves,,
"Sertéspörkölt tésztával, saláta",14,"Sertéspörkölt tészta , saláta",főétel,sertés,pörkölt
Korhely leves,13,Korhely leves,leves,,
Babgulyás leves – tyúkhúsleves tésztával,13,Babgulyás leves – tyúkhúsleves tészta,leves,marha,
Hortobágyi húsos palacsinta,13,hortobágyi húsos palacsinta,desszert,,
Korhelyleves - gyümölcsleves,13,Korhelyleves - gyümölcsleves,leves,,
"Tökfőzelék, fasírozott",13,"Tökfőzelék , fasírozott",főzelék,vegetáriánus,fasírozott
"Zöldbabfőzelék, fasírozott",13,"zöldbabfőzelék , fasírozott",főzelék,,fasírozott
"Sertéskaraj ""otthon"" módra rizzsel",13,"Sertéskaraj "" otthon "" mód rizzs",főétel,sertés,
Rizskók lekvárral,13,Rizskók lekvár,főétel,,
Kertészleves,13,Kertészleves,leves,,
Túrós tészta,13,Túrós tészta,főétel,vegetáriánus,
"Finomfőzelék, sült csirkecomb, palacsinta",13,"Finomfőzelék , sült csirkecomb , palacsinta",desszert,csirke,sült
"Zöldborsófőzelék, sült csirkecomb, palacsinta",13,"Zöldborsófőzelék , sült csirkecomb , palacsinta",desszert,csirke,sült
"Birkapörkölt, főttburgonya",13,"birkapörköl , főttburgonya",főétel,,"főtt,pörkölt"
Falusi csirkeleves daragaluskával,13,falusi csirkeleves daragaluska,leves,csirke,
"Mexikói sertés tokány galuskával, saláta",13,"mexikói sertés tokány galuska , saláta",főétel,sertés,
Sertéskaraj vadasan tésztával,13,Sertéskaraj vadas tészta,főétel,sertés,
Szalagos fánk lekvárral,13,szalagos fánk lekvár,főétel,,
Grízgombócleves,13,Grízgombócleves,leves,,
"Rántott sertésmáj, petrezselymes burgonya",13,"rántott sertésmáj , petrezselymes burgonya",főétel,sertés,rántott
"Birkapörkölt, sós burgonya, saláta",13,"birkapörkölt , sós burgonya , saláta",főétel,,pörkölt
Tökfőzelék vagdalttal,13,Tökfőzelék vagdalt,főzelék,vegetáriánus,
Gombapaprikás tésztával,13,Gombapaprikás tészta,főétel,vegetáriánus,
"Rántott halrúd, kukoricás rizs",13,"rántott halrúd , kukoricás rizs",főétel,,rántott
"Rántott csirkemell, párolt zöldség, rizs",13,"rántott csirkemell , párolt zöldség , rizs",főétel,csirke,"rántott,párolt"
"Magvas rántott szelet, kukoricás rizs",13,"Magvas ránt szél , kukoricás rizs",főétel,,rántott
"Lecsós csirkemáj, rizzsel",13,"Lecsós csirkemáj , rizz",főétel,csirke,
"Rántott jérce, rizibizi",13,"rántott jérce , rizibizi",főétel,csirke,rántott
"Kelkáposzta főzelék, fokhagymás sertéssült",13,"Kelkáposzta főzelék , fokhagymás sertéssül",főzelék,sertés,sült
"Pásztor tarhonya, savanyúság",13,"Pásztor tarhony , savanyúság",főétel,,
"Fokhagyma krémleves, zsemlekocka",13,"Fokhagyma krémleves , zsemlekocka",leves,,
"Almaszósz, Párizsi szelettel",13,"Almaszósz , Párizsi szelet",főétel,,párizsi
"Csőben sült brokkolis csirkemell, rizs",13,"cső sült brokkolis csirkemell , rizs",főétel,csirke,sült
Minestrone leves,13,Minestrone leves,leves,,
Tojásos tészta,13,tojásos tészta,főétel,vegetáriánus,
"Holstein szelet, rizibizi",12,"Holstein szél , rizibizi",főétel,,
"Zöldborsófőzelék, göngyölt hússal",12,"Zöldborsófőzelék , göngyölt hús",főzelék,,
"Prézlis tészta, baracklekvár",12,"prézlis tészta , baracklekvár",főétel,,
Marhapörkölt tésztával,12,Marhapörkölt tészta,főétel,marha,pörkölt
Pacalpörkölt sósburgonyával,12,Pacalpörkölt sósburgonya,főétel,,pörkölt
Kelkáposzta főzelék pörkölttel,12,Kelkáposzta főzelék pörkölt,főzelék,,pörkölt
Paradicsomos káposzta sült oldalassal,12,Paradicsomos káposzta sült oldalas,főétel,sertés,sült
"Chilis bab, rizs",12,"Chilis bab , rizs",főétel,vegetáriánus,
Borsostokány tésztával,12,Borsostokány tészta,főétel,,
"Borsmártásos karaj, burgonya",12,"borsmártásos karaj , burgonya",főétel,sertés,
"Rántott sajt, sültburgonya, tartár",12,"rántott sajt , sültburgonya , tartár",főétel,vegetáriánus,"rántott,sült"
"Fokhagymás tokány, tészta",12,"Fokhagymás tokány , tészta",főétel,,
Babgulyás - raguleves,12,Babgulyás - raguleves,leves,marha,
Pontyhalászlé túrós csusza,12,Pontyhalászlé túrós csusza,főétel,hal,
"Székelykáposzta, palacsinta",12,"Székelykáposzta , palacsinta",desszert,,
"Bácskai rizseshús, saláta",12,"Bácskai rizseshús , saláta",főétel,,
Magyaros zöldségleves,12,magyaros zöldségleves,leves,vegetáriánus,
Pulled pork tál,12,Pulled pork tál,főétel,,
"Mustáros sertésapró, tészta",12,"mustáros sertésapró , tészta",főétel,sertés,
"Szemes babfőzelék, sertéspörkölt",12,"szemes babfőzelék , sertéspörkölt",főzelék,sertés,pörkölt
"Lecsós sertés szelet, rizs",12,"Lecsós sertés szél , rizs",főétel,sertés,
Húsos tészta,12,húsos tészta,főétel,,
Káposztás kocka,12,Káposztás kocka,főétel,,
Fahéjas almaleves,12,fahéjas almaleves,leves,,
Frankfurti leves - gyümölcsleves,12,frankfurti leves - gyümölcsleves,leves,,
"Paradicsomos káposzta, sült hús",12,"Paradicsomos káposzta , sült hús",főétel,,sült
Szárnyas aprólék leves,12,Szárnyas aprólék leves,leves,csirke,
"Pankó morzsás rántott szelet, kukoricás rizs",12,"Pankó morzsás rántott szél , kukoricás rizs",főétel,,rántott
"Cordon Bleu, sültburgonya",12,"Cordon Bleu , sültburgonya",főétel,,sült
