dish_name,count,lemmas,course,protein,cooking_method
Póréhagyma krémleves levesgyönggyel,1,Póréhagyma krémleves levesgyöngy,leves,,
Pacalpörkölt köményes sós burgonyával,1,Pacalpörkölt köményes sós burgonya,főétel,,pörkölt
Pusztapörkölt,1,Pusztapörkölt,főétel,,pörkölt
Francia rakott burgonya baconnal és spenóth levéllel,1,francia rakott burgonya bacon és spenóth levél,főétel,sertés,rakott
Rántott kacsamell csíkok burgonyapürével és kovászos uborkával,1,rántott kacsamell csík burgonyapüre és kovászos uborka,főétel,,rántott
"Sertés apró budapest módra, petrezselymes rizs",1,"sertés apró budapest mód , petrezselymes rizs",főétel,sertés,
"Göngyölt csirkemell, sültkrumplival",1,"Göngyölt csirkemell , sültkrumpli",főétel,csirke,sült
"Füstölt tarjával, tormával töltött tepsis burgonya",1,"Füstölt tar , torma töltött tepsis burgonya",főétel,,"töltött,tepsis"
"Ropogós csülök, hagymás burgonya",1,"ropogós csül , hagymás burgonya",főétel,sertés,
"Tavaszi csirkebatyu, gombás rizs",1,"Tavaszi csirkebatyu , gombás rizs",főétel,csirke,
"Rántott velő, sültburgonya, tartár",1,"ránt velő , sültburgonya , tartár",főétel,,"rántott,sült"
Mustáros sertés tésztával,1,mustáros sertés tészta,főétel,sertés,
"Sajtos - tejfölös pulykamell, petrezselymes burgonya",1,"Sajtos - tejfölös pulykamell , petrezselymes burgonya",főétel,csirke,
Sajtmártásos csirkemell rizibizi,1,sajtmártásos csirkemell rizibizi,főétel,csirke,
"Fokhagymásan sütött libaszárnytő, vajas burgonya",1,"fokhagymás sütött libaszárnytő , vajas burgonya",főétel,csirke,
"Csirkemájas sertéskaraj, hagymás burgonya",1,"csirkemájas sertéskaraj , hagymás burgonya",főétel,"csirke,sertés",
"Darált húsos, sajtos töltött cukkíni",1,"darált húsos , sajtos töltött cukkíni",főétel,vegetáriánus,töltött
Mexikói húsgombócleves,1,mexikói húsgombócleves,leves,,
"Mozzarellás csirkemell, rizs",1,"Mozzarellás csirkemell , rizs",főétel,csirke,
Barackos pulykamell steakburgonyával,1,barackos pulykamell steakburgonyával,főétel,csirke,
Tejfölös húsgombócleves csigatésztával,1,Tejfölös húsgombócleves csigatészta,leves,,
Frankfurti leves - sonkával töltött sajt rizzsel vagy Bolognai spagetti,1,frankfurti leves - sonka töltött sajt rizz vagy Bolognai spagetti,leves,sertés,töltött
"Roston sült tarja hagymásan, tükörtojás, vajas burgonya, saláta c: rántott pontyszelet, párolt rizs, majonéz",1,"Roston sül tar hagymás , tükörtojás , vajas burgonya , saláta c : rántott pontyszelet , párolt rizs , majonéz",főétel,"sertés,hal","rántott,sült,párolt,grillezett"
"Rántott szelet, párolt zöldség, rizs",1,"rántott szelet , párolt zöldség , rizs",főétel,vegetáriánus,"rántott,párolt"
"Parmezános bundában rántott cukkini, rizs, fokhagymás mártás",1,"Parmezános bunda rántott cukkini , rizs , fokhagymás mártás",főétel,vegetáriánus,rántott
Póréhagymás burgonyakrémleves,1,Póréhagymás burgonyakrémleves,leves,,
"Rántott sertés szelet - rántott cukkíni, hagymás burgonya, saláta",1,"rántott sertés szél - rántott cukkíni , hagymás burgonya , saláta",főétel,sertés,rántott
Francia hagymaleves sajtos pirítóssal,1,francia hagymaleves sajtos pirítós,leves,vegetáriánus,
Grillezett csirkemell gombamártással jázmin rizzsel és párolt zöldséggel,1,grillezett csirkemell gombamártás jázmin rizz és párolt zöldség,főétel,csirke,"párolt,grillezett"
Palócgulyás / gyümölcsleves,1,Palócgulyás / gyümölcsleves,leves,marha,
"Sertéspörkölt, tarhonya, savanyúság b: rántott csirkemell, zöldséges bulgur",1,"Sertéspörkölt , tarhony , savanyúság b : rántott csirkemell , zöldséges bulgur",főétel,"csirke,sertés","rántott,pörkölt"
"Zöldbabfőzelék fokhagymás sertéssülttel, sütemény",1,"Zöldbabfőzelék fokhagymás sertéssült , sütemény",desszert,sertés,sült
"Gyümölccsel töltött sertéstekercs, petrezselymes burgonya, saláta c: roston sült csirkeszárny, zöldséges rizs, saláta",1,"gyümölcc töltött sertéstekercs , petrezselymes burgonya , saláta c : rost sült csirkeszárny , zöldséges rizs , saláta",főétel,"csirke,sertés","sült,töltött,grillezett"
Mustáros sült csirkemell tejszínes burgonya pürével,1,mustáros sült csirkemell tejszínes burgonya pür,főétel,csirke,sült
"Rántott csirkecomb, rizzsel, kukoricás salátával",1,"rántott csirkecomb , rizz , kukoricás saláta",főétel,csirke,rántott
Sült kacsamell rizottóval,1,sült kacsamell rizottó,főétel,,sült
Omlós tarjaszelet tepsis burgonya,1,omlós tarjaszelet tepsis burgonya,főétel,sertés,tepsis
"Paprikás burgonya, füstölt kolbász",1,"paprikás burgonya , füstölt kolbász",főétel,sertés,
Lasagne csirkemelles,1,lasagne csirkemelles,főétel,csirke,
"Marha pörkölt, főttburgonya",1,"Marha pörkölt , főttburgonya",főétel,marha,"főtt,pörkölt"
Zöldborsóleves reszelt tésztával,1,Zöldborsóleves reszelt tészta,leves,,
"Gyümölcsleves, mandulás csirkemell rizzsel, friss saláta",1,"gyümölcsleves , mandulás csirkemell rizzsel , friss saláta",leves,csirke,
"Rántott sajt hasábburgonyával, tartár",1,"rántott sajt hasábburgonya , tartár",főétel,vegetáriánus,rántott
Grenadil mars,1,Grenadil mars,főétel,,
Hawaii csirkemell pennével,1,Hawaii csirkemell penn,főétel,csirke,
Csongrádi tekercs lecsós steak burgonya,1,csongrádi tekercs lecsós steak burgonya,főétel,vegetáriánus,
Fejtett bableves füstölt hússal,1,fejtett bableves füstölt hús,leves,,
"Rántott sertésszelet, burgonyapüré",1,"rántott sertésszelet , burgonyapüré",főétel,sertés,rántott
Pontyhalászlé - bogrács gulyásleves,1,Pontyhalászlé - bogrács gulyásleves,leves,"marha,hal",
Darás metélt öntettel,1,Darás metélt öntet,főétel,,
Gulyásleves - ízes derelye vagy túrós tészta,1,Gulyásleves - ízes derely vagy túrós tészta,leves,marha,
"Hamis gulyás - rántott gombafejek, rizs, tartármártás vagy Milánói sertésborda",1,"hamis gulyás - rántott gombafej , rizs , tartármártás vagy Milánói sertésborda",főétel,"sertés,marha","rántott,milánói"
"Pulyka pörkölt, tarhonya",1,"pulyka pörkölt , tarhony",főétel,csirke,pörkölt
"R. karaj, r.pulykamell, r. csirkeszárny, r. sajt",1,"R. karaj , r.pulykamell , r. csirkeszárny , r. sajt",főétel,"csirke,sertés",
Zöldséges csirkeapró pennével,1,zöldséges csirkeapró penne,főétel,csirke,
Gulyásleves csipetkével,1,Gulyásleves csipetke,leves,marha,
"Kijevi tekercs, zöldséges rizs",1,"Kijevi tekercs , zöldséges rizs",főétel,vegetáriánus,
"Csirkemájjal töltött rántott hús, steak burgonya",1,"Csirkemájjal tölt rántott hús , steak burgonya",főétel,csirke,"rántott,töltött"
"Sült tarja paprika, paradicsom, saláta",1,"sült tar paprika , paradicsom , saláta",főétel,sertés,sült
"Fokhagymás - parmezános sertés szelet, steak burgonya",1,"Fokhagymás - parmezános sertés szél , steak burgonya",főétel,sertés,
"Fokhagymás sertés tarja, törtburgonya, párolt káposzta",1,"fokhagymás sertés tar , törtburgonya , párolt káposzta",főétel,sertés,párolt
"Bbq csirkeszárnyak majonézes káposzta saláta, steak burgonya",1,"Bbq csirkeszárny majonézes káposzta saláta , steak burgonya",főétel,csirke,
Rántott csirkemell burgonya pürével barack befőtt,1,rántott csirkemell burgonya pür barack befőtt,főétel,csirke,"rántott,főtt"
"Lencsefőzelék, rántott sertés rolád",1,"Lencsefőzelék , rántott sertés rolád",főzelék,sertés,rántott
"Vajas - citromos csirke, sültburgonya",1,"Vajas - citromos csirke , sültburgonya",főétel,csirke,sült
Lecsós szelet bulgurral,1,Lecsós szelet bulgur,főétel,vegetáriánus,
"Hurka-kolbász, tört krumpli",1,"hurka-kolbász , tört krumpli",főétel,sertés,
"Tejszínes, gombás csirkemell kuszkusszal",1,"tejszínes , gombás csirkemell kuszkusz",főétel,csirke,
"Rántott tengeri halszelet, párolt rizs, majonéz",1,"rántott tengeri halszelet , párolt rizs , majonéz",főétel,,"rántott,párolt"
"Sertéskaraj ""budapest"" módra, burgonyakrokett",1,"Sertéskaraj "" budapes "" mód , burgonyakrokett",főétel,sertés,
"Rántott sajt- Párizsi csirkemell, párolt rizs, tartármártás c: tejszínes gombás sertés szelet, tésztával",1,"rántott sajt- Párizsi csirkemell , párolt rizs , tartármártás c : tejszínes gombás sertés szél , tészta",főétel,"csirke,sertés","rántott,párolt,párizsi"
"Kacsamájjal töltött sertés szűz baconbe tekerve, röszti",1,"Kacsamájjal töltött sertés szűz bacon tekerve , röszti",főétel,sertés,töltött
"Babgulyás - túrós gombóc öntettel, burgonyás tészta",1,"Babgulyás - túrós gombóc öntet , burgonyás tészta",leves,marha,
"Bableves - lyoni csirkemáj rizzsel vagy halrudak, rizibizi",1,"Bableves - lyoni csirkemáj rizzsel vagy halrud , rizibizi",leves,csirke,
"Gödöllői csirkecomb, rizs",1,"gödöllői csirkecomb , rizs",főétel,csirke,
"Juhászbojtár sertésszelet, rizibizi",1,"Juhászbojtár sertésszelet , rizibizi",főétel,sertés,
"Rántott cukkini-gomba hasábburgonyával, tartár mártással",1,"rántott cukkini-gomba hasábburgonya , tartár mártás",főétel,vegetáriánus,rántott
"Párizsi sertéscsíkok, párolt rizs, kompót",1,"párizsi sertéscsík , párolt rizs , kompót",főétel,sertés,"párolt,párizsi"
"Sült csontos karaj, lecsós burgonyával",1,"sült csontos karaj , lecsós burgonya",főétel,sertés,sült
Zempléni marharagu galuskával,1,Zempléni marharagu galuska,főétel,marha,
"Párizsi csirkemell- rántott karfiol, párolt rizs, majonézes burgonya c: kofapecsenye, hagymás burgonya",1,"párizsi csirkemell- rántott karfiol , párolt rizs , majonézes burgonya c : kofapecsenye , hagymás burgonya",főétel,csirke,"rántott,párolt,párizsi"
Sajttal töltött csirkemell olivás burgonyapürével,1,Sajt töltött csirkemell olivás burgonyapüre,főétel,csirke,töltött
"Szezámos halfilé, majonézes almasaláta, rizs",1,"szezámos halfilé , majonézes almasaláta , rizs",főétel,hal,
"Rántott csirkemell- rántott cukkini, rizibizi, saláta c: cigánypecsenye, hagymás burgonya, saláta",1,"rántott csirkemell- rántott cukkini , rizibizi , saláta c : cigánypecsenye , hagymás burgonya , saláta",főétel,csirke,rántott
"Natúr csirkemell, sonkával, kukoricával, sajttal a tetején, burgonya pürével 2390.",1,"Natúr csirkemell , sonka , kukorica , sajt a tető , burgonya pür 2390.",főétel,"csirke,sertés",
Rántott csirkecomb majonézes saláta,1,rántott csirkecomb majonézes saláta,főétel,csirke,rántott
"Póréhagymás, sajtos tejfölös pulykamell csőben sütve, rösztike",1,"Póréhagymás , sajtos tejfölös pulykamell cső sütve , rösztike",főétel,csirke,sült
"Rántott camambert, krokett",1,"rántott camamber , krokett",főétel,,rántott
Borskérges szűzpecsenye hollandi mártással és steak burgonya,1,borskérges szűzpecsenye hollandi mártás és steak burgonya,főétel,,
"Karfiolsteak, füstölt sajtmártás, bulgur",1,"Karfiolsteak , füstölt sajtmártás , bulgur",főétel,vegetáriánus,
"Zöldbab főzelék sertéssülttel, palacsinta",1,"Zöldbab főzelék sertéssült , palacsinta",desszert,sertés,sült
"Lecsós sertéskaraj, tarhonya",1,"Lecsós sertéskaraj , tarhony",főétel,sertés,
"Párzsi sertés szelet, vegyes köret, saláta",1,"Párzsi sertés szél , vegyes köret , saláta",főétel,sertés,
Pontypaprikás kapros túrós csusza,1,Pontypaprikás kapros túrós csusza,főétel,hal,
Kertészleves leves,1,Kertészleves leves,leves,,
"Lebbencsleves 1.3,7",1,"Lebbencsleves 1.3,7",leves,,
Rántott camembert salátával rizzsel és áfonya lekvárral,1,rántott camember saláta rizz és áfonya lekvár,főétel,,rántott
Mustáros sertésszelet steak burgonyával,1,mustáros sertésszelet steak burgonya,főétel,sertés,
"Roston csirkemell steak burgonyával , szivárvány zöldségekkel",1,"Roston csirkemell steak burgonya , szivárvány zöldség",főétel,csirke,grillezett
"Kelkáposzta főzelék fasírozottal b: cornflakes rántott halfilé, francia saláta, rizs",1,"Kelkáposzta főzelék fasírozot b : cornflakes rántott halfilé , francia saláta , rizs",főzelék,hal,"rántott,fasírozott"
Mustáros-zöldfűszeres karaj rizi-bizi,1,mustáros-zöldfűszeres karaj rizi-bizi,főétel,sertés,
Teriyaki csirkemell illatos rizs,1,Teriyaki csirkemell illatos rizs,főétel,csirke,
Cornflakes bundás csirkemell meggymártással,1,Cornflakes bundás csirkemell meggymártás,főétel,csirke,bundás
Tejfeles zöldbableves,1,Tejfeles zöldbableves,leves,,
Rántott csirkeszárny kukoricás rizzsel,1,rántott csirkeszárny kukoricás rizz,főétel,csirke,rántott
"Sült oldalas zelleres - répás burgonyapürével, párolt lilakáposztával",1,"sült oldalas zelleres - répás burgonyapüre , párolt lilakáposzta",főétel,sertés,"sült,párolt"
Malacsült hagymás burgonyával,1,malacsült hagymás burgonya,főétel,sertés,sült
"Pepperónis sajtos, rántott csirke, p.burgonya",1,"Pepperónis sajtos , rántott csirke , p.burgonya",főétel,csirke,rántott
Lecsós tokány tarhonya,1,Lecsós tokány tarhony,főétel,vegetáriánus,
"Szárazbabfőzelék, marahapörkölttel",1,"Szárazbabfőzelék , marahapörkölt",főzelék,,pörkölt
"Óvári sertés java, zöldséges rizs, saláta",1,"Óvári sertés java , zöldséges rizs , saláta",főétel,sertés,
Tejszínes mustáros sült karfiol zeller pürével,1,tejszínes mustáros sült karfiol zeller püre,főétel,vegetáriánus,sült
Sült marhaszelet vadasmártással krokett,1,sült marhaszél vadasmártás krokett,főétel,marha,sült
Körtés almaleves,1,Körtés almaleves,leves,,
Csípős csirkeszárnyak rizibizivel mentás mártogatóssal,1,csípős csirkeszárny rizibizi mentás mártogatós,főétel,csirke,
"Roston csirkemell, majonézes burgonyasaláta",1,"Roston csirkemell , majonézes burgonyasaláta",főétel,csirke,grillezett
Csőben sült trópusi csirkemell bulgur,1,cső sült trópusi csirkemell bulgur,főétel,csirke,sült
"Temesvári sertésszelet, kuszkusz",1,"temesvári sertésszelet , kuszkusz",főétel,sertés,
Zöldborsós sertésragu tarhonyával,1,zöldborsós sertésragu tarhonya,főétel,sertés,
Bbq csirkeszárny petrezselymes rizs,1,Bbq csirkeszárny petrezselymes rizs,főétel,csirke,
"Magyaróvári szelet, zöldséges rizs",1,"Magyaróvári szél , zöldséges rizs",főétel,vegetáriánus,
"Bableves - rántott gombafejek, rizs, tartár vagy rántott camambert, zöldséges rizs",1,"bableves - rántott gombafej , rizs , tartár vagy ránt camamber , zöldséges rizs",leves,vegetáriánus,rántott
"Sonkával töltött sajt, rizs",1,"Sonka töltött sajt , rizs",főétel,sertés,töltött
"Pankós csirkemell, tepsis burgonya",1,"pankós csirkemell , tepsis burgonya",főétel,csirke,tepsis
Köményes sertés sült tört burgonya,1,köményes sertés sült tört burgonya,főétel,sertés,sült
"Sajttal - sonkával töltött sertés, jázmin rizs",1,"Sajt - sonka töltött sertés , jázmin rizs",főétel,sertés,töltött
"Pilvax"" sertés szelet, petrezselymes burgonya",1,"Pilvax "" sertés szél , petrezselymes burgonya",főétel,sertés,
Laskagomba papirkás galuska,1,laskagomba papirkás galuska,főétel,vegetáriánus,
"Natúr tarja, bab és sajt, steak burgonya",1,"Natúr tar , bab és sajt , steak burgonya",főétel,sertés,
"Bbq csirkemell steak burgonya, majonézes káposzta saláta",1,"Bbq csirkemell steak burgonya , majonézes káposzta saláta",főétel,csirke,
"Barackos csirkemell, burgonya karikák",1,"Barackos csirkemell , burgonya karika",főétel,csirke,
Gölõdin leves,1,gölõdin leves,leves,,
Parajkrémes csirkemell rolád francia saláta,1,parajkrémes csirkemell rolád francia saláta,desszert,csirke,
Marhapörkölt tarhonyával csemege uborka,1,Marhapörkölt tarhonya csemege uborka,főétel,marha,pörkölt
"Sokmagvas halfilé rántva, rizs, almasaláta",1,"Sokmagvas halfilé rántva , rizs , almasaláta",főétel,hal,rántott
"Csőben sült többsajtos csirkemell, burgonya krokett",1,"cső sült többsajtos csirkemell , burgonya krokett",főétel,csirke,sült
Szárnyasragu leves,1,Szárnyasragu leves,leves,csirke,
Háromsajtos mac ‘n’ cheese bacon chipsszel,1,háromsajtos mac ‘ n ’ cheese bac chipsz,főétel,sertés,
"Gyümölcsleves, bécsi szelet, friss salátával, öntettel",1,"gyümölcsleves , bécsi szelet , friss saláta , öntet",leves,,bécsi
"Holstein szelet, rizs",1,"Holstein szelet , rizs",főétel,,
Mini sültes tál,1,Mini sültes tál,főétel,,sült
"Hamis gulyás - csirkemáj rizottó vagy rántott sajt, kukoricás rizs",1,"hamis gulyás - csirkemáj rizottó vagy rántott sajt , kukoricás rizs",főétel,"csirke,marha",rántott
Sertéspörkölt nokedlivel,1,Sertéspörkölt nokedli,főétel,sertés,pörkölt
"Babgulyás - rizsfelfújt, burgonyás tészta",1,"Babgulyás - rizsfelfújt , burgonyás tészta",leves,marha,
"Vasalt csirkecomb, snidliges törtburgonyával",1,"Vasalt csirkecomb , snidliges törtburgonya",főétel,csirke,
Székely gulyás leves,1,Székely gulyás leves,leves,marha,
Rakott zöldbab csirkehúsból,1,rakott zöldbab csirkehús,főétel,csirke,rakott
Budapest ragu burgonyapüré,1,Budapest ragu burgonyapüré,főétel,,
Óvári sertés szelet zöldséges rizs,1,Óvári sertés szél zöldséges rizs,főétel,sertés,
Krumplis tészta - sajtos nudli - grízes tészta öntettel,1,Krumplis tészta - sajtos nudli - grízes tészta öntet,főétel,vegetáriánus,
"Szezámos csirkemell, mexikói salátával",1,"szezámos csirkemell , mexikói saláta",főétel,csirke,
Sörös sült csülök steak burgonya és párolt káposzta,1,Sörös sült csül steak burgonya és párolt káposzta,főétel,sertés,"sült,párolt"
Dubarry csirkemell vegyes köret,1,Dubarry csirkemell vegyes köret,főétel,csirke,
"Rántott karfiol, gomba, rizibizivel",1,"rántott karfiol , gomba , rizibizi",főétel,vegetáriánus,rántott
"Marha pörkölt, juhtúrós sztrapacskával 2390.",1,"Marha pörkölt , juhtúrós sztrapacská 2390.",főétel,marha,pörkölt
"Paradicsomos húsgombóc, gyümölcs",1,"Paradicsomos húsgombóc , gyümölcs",desszert,,
Mustáros hagymás sült tarja lencse saláta,1,mustáros hagymás sül tar lencse saláta,főétel,sertés,sült
Olasz húsgombócleves,1,olasz húsgombócleves,leves,,
Zöldborsós sertés apró tésztával,1,zöldborsós sertés apró tészta,főétel,sertés,
Aszalt szilvás rántott karaj tört burgonya,1,aszalt szilvás rántott karaj tört burgonya,főétel,sertés,rántott
"Tavasziasan töltött sertés tekercs rántva, tört burgonya, saláta c: roston sült tengeri halszelet jóasszony módra, párolt rizs, saláta",1,"tavaszias töltött sertés tekercs rántva , tör burgonya , saláta c : rost sült tengeri halszelet jóasszony mód , párolt rizs , saláta",főétel,sertés,"rántott,sült,párolt,töltött,grillezett"
Párizsi csirkemell petrezselymes burgonyával,1,párizsi csirkemell petrezselymes burgonya,főétel,csirke,párizsi
"Rántott sertés szelet – rántott padlizsán, hagymás burgonya, saláta c: csőben sült rokfortos csirkemell, párolt rizs, párolt zöldség",1,"rántott sertés szél – rántott padlizsa , hagymás burgonya , saláta c : cső sült rokfortos csirkemell , párolt rizs , párolt zöldség",főétel,"csirke,sertés","rántott,sült,párolt"
"Gyümölcsfőzelék, Orly csirkemell b: tarhonyás hús",1,"Gyümölcsfőzelék , Orly csirkemell b : tarhonyás hús",főzelék,csirke,
Spenótos-tejszínes tésztas,1,spenótos-tejszínes tésztas,főétel,,
Cukkinis zöldborsó-krémleves,1,Cukkinis zöldborsó-krémleves,leves,vegetáriánus,
"Sok sajttal töltött rántott csirkemell, krokett",1,"sok sajt tölt rántott csirkemell , krokett",főétel,csirke,"rántott,töltött"
"Sokmagvas szelet, petrezselymes burgonya",1,"Sokmagvas szél , petrezselymes burgonya",főétel,,
"Sertéskaraj ""dubarry"" módra, burgonyakrokett",1,"Sertéskaraj "" dubarry "" mód , burgonyakrokett",főétel,sertés,
"Szezámos, sonkával töltött rántott sajt",1,"szezámos , sonka töltött rántott sajt",főétel,sertés,"rántott,töltött"
Tejszínes zöldséges sertésragu kukoricás rizzsel,1,tejszínes zöldséges sertésragu kukoricás rizz,főétel,sertés,
Mákosguba vanília sodóval,1,Mákosguba vanília sodó,főétel,,
"Sajttal töltött szelet, mexikói rizs",1,"Sajt töltött szél , mexikói rizs",főétel,vegetáriánus,töltött
"Borsos - retró sült hús, francia saláta, rizs",1,"Borsos - retró sült hús , francia saláta , rizs",főétel,,sült
"Rántott sajt - rántott csirkecomb, párolt rizs, majonézes brokkoli",1,"rántott sajt - rántott csirkecomb , párolt rizs , majonézes brokkoli",főétel,csirke,"rántott,párolt"
"Sokmagvas rántott csirkemell, burgonyasaláta",1,"sokmagvas ránt csirkemell , burgonyasaláta",főétel,csirke,rántott
Tárkonyos csirkeaprólék leves,1,tárkonyos csirkeaprólék leves,leves,csirke,
Parmezános sült hal vegyes friss salátával,1,Parmezános sült hal vegyes friss saláta,főétel,hal,sült
"Csirkemell csíkok, rizs és zöldség köret",1,"Csirkemell csík , rizs és zöldség köret",főétel,csirke,
Bbq oldalas fűszeres burgonya,1,Bbq oldalas fűszeres burgonya,főétel,sertés,
Zöldséges tokány tésztával,1,zöldséges tokány tészta,főétel,vegetáriánus,
"Rántott sajt- rántott csirkecomb, párolt rizs, majonézes brokkoli c: cigánypecsenye, hagymás burgonya, saláta",1,"rántott sajt- rántott csirkecomb , párolt rizs , majonézes brokkoli c : cigánypecsenye , hagymás burgonya , saláta",főétel,csirke,"rántott,párolt"
Bajor káposztaleves,1,bajor káposztaleves,leves,,
"Ropogós bundában sült halfilé, rizs, tartármártás",1,"ropogós bunda sült halfilé , rizs , tartármártás",főétel,hal,sült
"Gyros, sültburgonyával, saláta",1,"Gyros , sültburgonya , saláta",főétel,,sült
Mangó krémleves - csontleves,1,Mangó krémleves - csontleves,leves,,
"Sárgaborsó főzelék, grillkolbász",1,"Sárgaborsó főzelék , grillkolbász",főzelék,sertés,grillezett
"Óvári sertés szelet, tészta",1,"Óvári sertés szél , tészta",főétel,sertés,
Mustáros sertésragu galuskával,1,mustáros sertésragu galuska,főétel,sertés,
Sárgaborsó főzelék fasírttal,1,Sárgaborsó főzelék fasírt,főzelék,,fasírozott
"Gyümölcsleves, grillcsirke, joghurtos friss salátával",1,"gyümölcsleves , grillcsirke , joghurtos friss saláta",leves,csirke,grillezett
"Gombás hamburger, sült krumplival",1,"gombás hamburger , sült krumpli",főétel,vegetáriánus,sült
"Palócgulyás - szilvás gombóc, burgonyás tészta",1,"Palócgulyás - szilvás gombóc , burgonyás tészta",desszert,marha,
"Zöldbableves - csőben sült tejszínes - gombás jérce, rizs vagy rántott sajt kukoricás rizs",1,"Zöldbableves - cső sült tejszínes - gombás jérce , rizs vagy rántott sajt kukoricás rizs",leves,csirke,"rántott,sült"
"Fetasajttal töltött pulykamell, krokett",1,"Fetasajt töltött pulykamell , krokett",főétel,csirke,töltött
Lecsós tarja rizzsel,1,Lecsós tar rizzsel,főétel,sertés,
Vörösboros-lencsés házi tortilla,1,vörösboros-lencsés házi tortilla,főétel,,
"Sajttal - sonkával - kukoricával töltött szelet, burgonyapüré",1,"Sajt - sonka - kukorica töltött szél , burgonyapüré",főétel,sertés,töltött
"Ananászos csirkemell, burgonyapüré",1,"Ananászos csirkemell , burgonyapüré",főétel,csirke,
Csirkés-zöldséges pirított tészta,1,csirkés-zöldséges pirított tészta,főétel,vegetáriánus,pirított
Többsajtos csirkemell burgonya krokett,1,többsajtos csirkemell burgonya krokett,főétel,csirke,
Körtés nyári gyümölcsleves,1,körtés nyári gyümölcsleves,leves,,
Fokhagymakrém leves levesgyönggyel,1,Fokhagymakrém leves levesgyöngy,leves,,
Sokmagvas bundában sült pulykamell kukoricás rizs,1,Sokmagvas bunda sült pulykamell kukoricás rizs,főétel,csirke,sült
Pikáns csirkeszárnyak steak burgonya,1,pikáns csirkeszárny steak burgonya,főétel,csirke,
"Szezámos rántott halfilé, rizs, fr. saláta",1,"szezámos rántott halfilé , rizs , fr. saláta",főétel,hal,rántott
Csirkés thai tészta,1,Csirkés thai tészta,főétel,,
Füstölt sajttal töltött sertésborda rozmaringos házi burgonyával,1,Füstölt sajt tölt sertésborda rozmaringos házi burgonya,főétel,sertés,töltött
Gombás sertés raguleves - gyümölcsleves,1,gombás sertés raguleves - gyümölcsleves,leves,sertés,
Citromos - joghurtos csirkemell görögsalátával,1,Citromos - joghurtos csirkemell görögsaláta,főétel,csirke,
"Kijevi sertés tekercs, petrezselymes burgonya, saláta c: rakott zöldbab",1,"kijevi sertés tekercs , petrezselymes burgonya , saláta c : rak zöldbab",főétel,sertés,rakott
"Rántott tengert halfilé, petrezselymes burgonya",1,"rántott tenger halfilé , petrezselymes burgonya",főétel,hal,rántott
"Búboshús, majonézes kukorica saláta, rizs",1,"Búboshús , majonézes kukorica saláta , rizs",főétel,,
"Sertés pörkölt, lencsefőzelék",1,"sertés pörkölt , lencsefőzelék",főzelék,sertés,pörkölt
"Fetával töltött rántott gomba, póréhagymás kölessel",1,"Feta tölt rántott gomba , póréhagymás köles",főétel,vegetáriánus,"rántott,töltött"
"Szilvás sertéspörkölt, bulgurral",1,"Szilvás sertéspörkölt , bulgur",főétel,sertés,pörkölt
Grillezett csirkemell krumplipüré,1,grillezett csirkemell krumplipüré,főétel,csirke,grillezett
"Rántott sajt, rántott gomba, petrezselymes burgonyával",1,"rántott sajt , rántott gomba , petrezselymes burgonya",főétel,vegetáriánus,rántott
"Nutellás, vaníliás palacsinta",1,"nutellás , vaníliás palacsinta",desszert,,
Pankó morzsás rántott csirkemell törtburgonya,1,Pankó morzsás rántott csirkemell törtburgonya,főétel,csirke,rántott
"Tejfölös - gombás tokány, tészta",1,"Tejfölös - gombás tokány , tészta",főétel,,
Stroganoff tokány tésztával,1,Stroganoff tokány tészta,főétel,,
Piacos húsos batyu,1,piacos húsos batyu,főétel,,
"Sült hekk, vajas burgonya",1,"sült hekk , vajas burgonya",főétel,hal,sült
Laskagombás sertés paprikás galuskával,1,Laskagombás sertés paprikás galuska,főétel,sertés,
"Rántott sajt- rántott karfiol, párolt rizs, majonézes kukorica c: szárnyas májas sertés java, hagymás burgonya, saláta",1,"rántott sajt- rántott karfiol , párolt rizs , majonézes kukorica c : szárnyas májas sertés java , hagymás burgonya , saláta",főétel,"csirke,sertés","rántott,párolt"
"R. karaj, r.pulykamell, r.sajt, r. karfiol",1,"R. karaj , r.pulykamell , r.saj , r. karfiol",főétel,"csirke,sertés",
"Sertés budapest módra, rizs",1,"sertés budapest mód , rizs",főétel,sertés,
Zöldborsós tokány,1,zöldborsós tokány,főétel,,
"Meggyfőzelék, Párizsi pulyka",1,"Meggyfőzelék , Párizsi pulyka",főzelék,csirke,párizsi
"Rózsa sándor tál csirkemell,tócsni,gomba",1,"Rózsa sándor tál csirkemell , tócsik , gomba",főétel,csirke,
Tejszínes currys csirkemell jázmin rizzsel,1,tejszínes currys csirkemell jázmin rizz,főétel,csirke,
"Pepperónis - sajtos rántott csirke, krokett",1,"Pepperónis - sajtos rántott csirke , krokett",főétel,csirke,rántott
"Kakaspörkölt, kapros galuska",1,"Kakaspörkölt , kapros galuska",főétel,,pörkölt
Bbq csirkecomb zöldséges bulgur,1,Bbq csirkecomb zöldséges bulgur,főétel,csirke,
"Szezámmagos rántott csirkemell, gombás rizs, saláta c: Holstein sertés szelet, petrezselymes burgonya, saláta",1,"szezámmagos rántott csirkemell , gombás rizs , saláta c : Holstein sertés szelet , petrezselymes burgonya , saláta",főétel,"csirke,sertés",rántott
"Csabai töltött karaj, hagymás burgonya",1,"Csabai töltött karaj , hagymás burgonya",főétel,sertés,töltött
