canonical_name,total,month_01,month_02,month_03,month_04,month_05,month_06,month_07,month_08,month_09,month_10,month_11,month_12
"Borsos tokány galuskával, saláta",20,0,3,0,3,3,0,2,2,2,2,0,3
Leves + Éhes gumis kedvence,20,3,4,0,7,0,0,0,6,0,0,0,0
bécsi szelet,20,0,5,4,1,2,2,1,0,0,1,3,1
"Pulykapörkölt tésztával, saláta",20,0,3,1,3,1,3,2,2,0,2,3,0
Mákos guba,20,0,1,2,1,2,2,2,0,2,0,4,4
"Rakott burgonya, saláta",19,4,0,0,2,3,3,2,2,0,1,1,1
Pecsenye leves,19,1,0,2,1,2,1,4,1,1,3,2,1
"Körömpörkölt, sósburgonya",19,2,2,2,2,2,0,3,0,1,2,2,1
Diós tészta,19,2,2,2,1,2,2,1,2,1,2,2,0
"Gyümölcsfőzelék, párizsi csirkemell",19,2,4,3,3,1,1,0,0,1,1,1,2
Pármai rakott tészta,19,3,3,1,2,1,2,0,2,2,1,2,0
"Pacal, főttburgonya",18,1,3,0,3,1,1,2,1,3,1,1,1
Gölődinleves,18,0,2,1,2,3,2,2,1,1,0,4,0
Marhapörkölt galuskával,18,1,2,3,2,4,1,0,0,0,2,1,2
Bakonyi betyár leves,18,1,4,2,1,3,1,1,2,0,2,1,0
Gölődin leves,18,2,1,3,2,2,0,1,0,2,2,3,0
Tárkonyos sertés raguleves,18,3,2,2,1,0,1,2,1,0,1,3,2
"Zúzapörkölt tarhonyával, saláta",17,2,1,1,3,1,1,3,0,0,2,0,3
Kofapecsenye tarhonyával,17,1,3,3,1,0,1,1,1,1,1,3,1
Sütőtök krémleves,17,0,1,0,0,1,0,1,0,2,3,5,4
Savanyú burgonyaleves,17,3,1,3,1,1,0,1,1,2,0,3,1
Sárgaborsó leves,17,1,1,2,1,3,1,0,1,2,1,1,3
Tejfölös bableves,17,2,0,4,1,2,3,1,1,1,1,0,1
Csirkemáj rizottó,17,1,2,1,3,3,1,1,1,0,0,2,2
Vaníliás palacsinta,17,1,1,2,1,2,2,1,1,1,1,1,3
Falusi csirkeleves,17,2,3,2,1,4,1,0,1,0,0,1,2
Raguleves,17,0,1,0,0,3,2,1,2,2,1,2,3
"Rántott sertésszelet, vegyes köret, saláta",17,1,0,0,0,1,3,2,0,5,4,1,0
Szárnyas raguleves,17,1,2,1,4,0,1,1,1,3,1,1,1
Marhapörkölt tarhonyával,16,2,2,1,2,1,1,2,1,1,1,1,1
"Csikós tokány galuskával, saláta",16,1,3,0,0,2,0,0,2,1,1,3,3
Zöldborsó leves,16,2,1,3,2,0,2,1,0,0,2,2,1
Rakott krumpli,16,2,1,3,0,3,0,1,0,1,1,2,2
Csirkebecsinált leves,16,1,1,3,2,3,1,0,0,1,1,3,0
Palócleves,16,1,3,3,0,2,1,1,1,1,0,0,3
"Resztelt máj, főttburgonya",16,2,2,0,1,3,1,0,2,1,0,3,1
Szemes bableves,16,0,0,3,3,3,2,0,0,0,2,0,3
Tejfölös zöldbableves,16,0,2,1,4,2,1,1,2,0,1,1,1
Bácskai rizseshús,16,0,3,4,2,3,1,1,0,0,0,1,1
"Pacalpörkölt, sósburgonya",16,0,2,3,2,1,2,0,1,0,2,1,2
Lencsekrém leves,15,1,3,0,0,0,2,2,0,2,0,2,3
"Meggyfőzelék, párizsi csirke",15,2,2,2,2,0,3,1,1,0,1,0,1
Görög rakott burgonya,15,2,1,3,1,2,1,2,1,0,2,0,0
Tárkonyos sertésragu leves,15,0,0,1,2,1,2,1,1,3,3,1,0
Tavaszi leves,15,0,0,1,0,4,1,2,2,0,1,2,2
Magyaros gombaleves,15,0,2,2,2,2,1,2,1,1,1,0,1
"Bácskai rizses hús, saláta",15,0,3,1,1,1,3,0,0,1,2,0,3
"Kecskeméti aprópecsenye, tészta",15,1,2,2,1,3,0,2,0,1,0,3,0
Mákos nudli,15,2,0,1,1,3,0,0,1,2,2,2,1
"Paradicsomos káposzta, sült hús",15,2,1,1,2,1,0,2,1,1,0,3,1
Paradicsomos káposzta vagdalttal,15,3,0,1,2,1,2,2,0,2,2,0,0
Babgulyás + Tiramisu,14,0,0,0,0,0,0,0,0,0,7,3,4
"Meggyfőzelék, párizsi csirkemell",14,0,1,1,1,1,1,0,0,1,1,4,3
"Körömpörkölt, sós burgonya, saláta",14,2,1,3,0,4,0,0,1,0,0,3,0
"Leves + Mézpácos csirkemell, krokett, karamellizált gyümölcs",14,7,0,5,2,0,0,0,0,0,0,0,0
"Csülök ""Pékné"" módra, hagymás burgonya",14,1,1,1,0,1,1,1,3,0,1,2,2
"Sárgaborsó főzelék, borsos tokány",14,3,0,1,1,2,0,2,0,2,0,3,0
Burgonyafőzelék vagdalttal,14,2,0,2,0,1,0,2,4,0,0,1,2
Vargabéles,14,1,2,1,2,1,1,1,0,0,3,1,1
"Csőben sült ananászos csirkemell, rizs",14,3,0,3,0,1,2,0,0,2,1,2,0
"Fokhagyma krémleves, zsemlekocka",14,1,1,3,1,1,1,1,1,0,0,3,1
Becsinált leves,13,0,0,5,0,0,1,2,2,0,0,1,2
"Birkapörkölt, sósburgonya",13,0,1,0,3,3,0,1,1,0,1,2,1
"Rántott halrúd, kukoricás rizs",13,0,0,0,0,0,0,0,0,0,2,5,6
Karalábéleves,13,1,2,0,2,0,1,1,1,0,2,2,1
Babgulyás - Pecsenyeleves,13,1,1,2,1,2,1,1,0,2,0,2,0
Csülökpörkölt tésztával,13,2,1,1,0,0,2,0,1,0,1,2,3
"Rántott camambert, barack, áfonya, krokett",13,1,2,2,2,1,1,0,1,1,0,1,1
Borjúpörkölt tésztával,13,0,1,2,0,0,2,1,0,3,2,0,2
"Rakott karfiol, greslivel",13,3,0,1,0,3,0,2,0,2,0,2,0
Hagymakrém leves,13,1,1,1,2,3,0,1,1,1,1,1,0
Burgonyás tészta,13,1,0,2,2,0,1,1,0,1,3,2,0
Rakott kel,13,2,1,2,1,1,1,1,2,1,0,1,0
